Kombinace rysů,délka úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 12, 6)",0.6801120044855178,1068.1,0.7419878460821632,0.6414928969364413,0.478300839639542,0.620593860886049,0.7173940208391809,0.5836023170367588,0.720552227713757,0.8339380394290121,0.7574234885092805,0.42161675806056886
"(0, 0, 0, 1, 0)","(0, 0, 12, 6)",0.6532016820505946,1155.5,0.754084041939248,0.591551895621367,0.4423543026457434,0.5959967467354528,0.7723542744121026,0.5042983289033703,0.724052067891137,0.7849387494356048,0.7802659005353783,0.4338214337505814
"(0, 0, 0, 1, 1)","(0, 0, 12, 6)",0.6573317406047143,1119.5,0.7322137449338842,0.5577729089807343,0.5129429551402103,0.6009765363516096,0.7073635392747567,0.5172667648912427,0.7266237149098818,0.8111917404220147,0.6764061115340476,0.47540069224555187
"(0, 0, 1, 0, 0)","(0, 0, 12, 6)",0.6508356033487438,1161.1,0.7565404604891479,0.5938750322922546,0.42527866035038187,0.5918980510439281,0.7651078982354054,0.5100870814109736,0.717806118646077,0.800379989774987,0.7742070607948289,0.4117699649074435
"(0, 0, 1, 0, 1)","(0, 0, 12, 6)",0.6574489996997446,1121.6,0.7334243775042648,0.5669959681436929,0.49586472924452024,0.598761691630826,0.7013660169670834,0.5266739493064936,0.7229888224042751,0.8235781964083582,0.6815658757898385,0.4467316666182109
"(0, 0, 1, 1, 0)","(0, 0, 12, 6)",0.6798942814147784,1070.1,0.7501126069927654,0.6036296231083191,0.5181894809975568,0.6239772370328804,0.7943717744300929,0.5175587158317632,0.732861045443422,0.7522171431493,0.7774479235600104,0.5281233463268732
"(0, 0, 1, 1, 1)","(0, 0, 12, 6)",0.6299721737951691,1177.5,0.7338075631358592,0.4794892846049188,0.4922682385200323,0.56852169542027,0.6911953379864696,0.45057553571895587,0.7556599376908284,0.821691441893307,0.6050295584461259,0.40865044704930237
"(0, 1, 0, 0, 0)","(0, 0, 12, 6)",0.6550656426001007,1142.2,0.7287444694382101,0.6396479056661531,0.43819334796493603,0.6021952410230997,0.7283160276163191,0.573792182601592,0.6125761125125809,0.783580368186874,0.7660564464060633,0.42463994022682944
"(0, 1, 0, 0, 1)","(0, 0, 12, 6)",0.6634310358120089,1096.9,0.7263020975343437,0.5854274761872531,0.5069833662704873,0.606237646664028,0.7057033799376957,0.5399296076475235,0.6773809846943528,0.7894391312277,0.7031847782046462,0.46727338955308334
"(0, 1, 0, 1, 0)","(0, 0, 12, 6)",0.6777406001577344,1068.1,0.7547920985666097,0.606954705522614,0.5229286023494115,0.6282251354795451,0.8194418358976062,0.5207157203790341,0.6534716864681339,0.736635660734769,0.7906448861234268,0.543752099176464
"(0, 1, 0, 1, 1)","(0, 0, 12, 6)",0.6550919802218668,1106.0,0.731975062512072,0.5324016858348811,0.5339138253363686,0.5994301912277739,0.7188426075481146,0.4953324590126801,0.675657345905157,0.7782903174641899,0.6531613521928765,0.49309979243063273
"(0, 1, 1, 0, 0)","(0, 0, 12, 6)",0.6719003005214331,1085.8,0.7539251453595824,0.6042599358303996,0.5026949844423962,0.6202933552107928,0.8091861265679254,0.5203565394062453,0.6434312392640886,0.745020662835613,0.7817624311461628,0.5162206414091982
"(0, 1, 1, 0, 1)","(0, 0, 12, 6)",0.6569755591415148,1105.7,0.731816894942638,0.5469036085173424,0.5201869711820954,0.5996358248806919,0.7159472356449298,0.5066574656401809,0.6672349695130039,0.7822390510562218,0.6663764360648967,0.4844245830914143
"(0, 1, 1, 1, 0)","(0, 0, 12, 6)",0.6808472912365033,1060.5,0.7540793692688109,0.5909423964027785,0.5404207925932941,0.6284808527549612,0.8347567689846123,0.5072192991330036,0.6575512795116303,0.7242059336286001,0.7687823854530242,0.5739222557179249
"(0, 1, 1, 1, 1)","(0, 0, 12, 6)",0.633145523357094,1159.1,0.734552274619132,0.47886653917514466,0.5113629476722729,0.5749272538221831,0.7119223517928843,0.44998606518680423,0.7003914811238753,0.791113231552743,0.6075812243274293,0.44557036106931214
"(1, 0, 0, 0, 0)","(0, 0, 12, 6)",0.6586935268239054,1134.9,0.7347315560963166,0.6419878503995348,0.431318759589087,0.6026793886949793,0.7204696214219983,0.587016791053359,0.6332123275862033,0.8139248753093117,0.7479051909104795,0.40521537967350857
"(1, 0, 0, 0, 1)","(0, 0, 12, 6)",0.6514241792865836,1129.0,0.7327144996902287,0.5344368350969779,0.5103347982109002,0.5924953776660358,0.6884674535471532,0.5088508524604604,0.7340877532376726,0.8358615262370399,0.6318395972669719,0.45166795403244586
"(1, 0, 0, 1, 0)","(0, 0, 12, 6)",0.6822389016521603,1057.8,0.7650524594600863,0.5977377440775925,0.5285573050515678,0.6304491695297489,0.817723510503263,0.515003664336577,0.6740218565512137,0.7581248552528856,0.7715867034791949,0.5438741191215651
"(1, 0, 0, 1, 1)","(0, 0, 12, 6)",0.6578010038473152,1087.8,0.74551909398895,0.501007678652656,0.565080781465709,0.6038691847024384,0.7067078048235853,0.47855245709791605,0.7643632530368906,0.8267332018686077,0.6109867763503802,0.49125065035664495
"(1, 0, 1, 0, 0)","(0, 0, 12, 6)",0.678965056843473,1068.1,0.7667419774435176,0.5962681240497152,0.513449083691318,0.6254863950615169,0.81016460349088,0.516943533260072,0.667464607035446,0.7693032045266774,0.7611006978871621,0.5221650670883078
"(1, 0, 1, 0, 1)","(0, 0, 12, 6)",0.657796688080189,1093.5,0.7434477057483446,0.5114943991300656,0.5586085492336564,0.6045168847040221,0.7026526040189724,0.48570863103800377,0.7668077800501996,0.831076051698741,0.62171919068936,0.47711283511871583
"(1, 0, 1, 1, 0)","(0, 0, 12, 6)",0.6847238217306246,1048.4,0.7671698237958654,0.5768931140185589,0.5498511845731417,0.6313047074625221,0.8380317477566589,0.4954426401434938,0.684660543961407,0.7461928400616122,0.7537842913067723,0.5744776114474864
"(1, 0, 1, 1, 1)","(0, 0, 12, 6)",0.6578885013418718,1070.7,0.7619556042721136,0.48266210722049435,0.5440652494878336,0.5962276536601473,0.7165015088613459,0.46866859937759936,0.7609489702609683,0.839319114756832,0.5896880842838954,0.4668556304331342
"(1, 1, 0, 0, 0)","(0, 0, 12, 6)",0.6629449774126936,1118.5,0.7320006162290669,0.6301074049931019,0.4637397987840671,0.6086159400020786,0.7397137282252604,0.5711636509677434,0.6058249378200612,0.7744163646361861,0.747283326880803,0.4518411702994829
"(1, 1, 0, 0, 1)","(0, 0, 12, 6)",0.6522696081882413,1119.5,0.7261636638215813,0.5526934261366174,0.5019295338790111,0.5935955412790699,0.6836237140780026,0.528434536394148,0.6784551107911688,0.8146182859568121,0.6437671857865096,0.458379344255215
"(1, 1, 0, 1, 0)","(0, 0, 12, 6)",0.6801668253581892,1059.6,0.7526924495646238,0.6079703780360458,0.525329123225727,0.628663983608799,0.8093595039466741,0.5456848664433924,0.6243374666201984,0.7412015017352016,0.7586199128994437,0.5351030723113794
"(1, 1, 0, 1, 1)","(0, 0, 12, 6)",0.6616726027947062,1075.2,0.7365421492908164,0.538368128784448,0.5514921937300452,0.6088008239351033,0.7042170965709893,0.5275771193580668,0.6933662041687313,0.8049462980398427,0.637983384455632,0.4984488932921485
"(1, 1, 1, 0, 0)","(0, 0, 12, 6)",0.6710963495324367,1089.3,0.7526616311817904,0.592310637134924,0.5056750852032871,0.616882451173334,0.8064069444957779,0.5157419462521247,0.618695812901549,0.7444151467624296,0.7555809973110994,0.5145972145109887
"(1, 1, 1, 0, 1)","(0, 0, 12, 6)",0.6581313425436635,1088.7,0.7374586703176347,0.5299195451967789,0.5334452073256883,0.600274474280034,0.7000987510919974,0.5069409762238457,0.6818958907578051,0.8115432557511685,0.6322483806987951,0.480508394884027
"(1, 1, 1, 1, 0)","(0, 0, 12, 6)",0.6620379498561614,1103.8,0.749416634652255,0.5543093691083902,0.5138982640354139,0.6058747559320198,0.7973931413504792,0.48305529650055634,0.6380193394669526,0.7429080674081021,0.7343013923472672,0.4877864586833637
"(1, 1, 1, 1, 1)","(0, 0, 12, 6)",0.6548622936607289,1080.6,0.7499528289353529,0.4992801121560169,0.528111049781222,0.5924479969575305,0.7120656664445314,0.48616641260248467,0.6874008635125407,0.8164922891188224,0.5998029827607047,0.4662353834460129
"(0, 0, 0, 0, 1)","(0, 0, 12, 7)",0.690019566455786,1037.4,0.7478507607501257,0.6387420658341058,0.5077595039776421,0.6314507768539578,0.7285941941718473,0.580290786182473,0.7281125332588934,0.8295705567618971,0.7532434795712359,0.4553915202505018
"(0, 0, 0, 1, 0)","(0, 0, 12, 7)",0.6532016820505946,1155.5,0.754084041939248,0.591551895621367,0.4423543026457434,0.5959967467354528,0.7723542744121026,0.5042983289033703,0.724052067891137,0.7849387494356048,0.7802659005353783,0.4338214337505814
"(0, 0, 0, 1, 1)","(0, 0, 12, 7)",0.6677778805330592,1086.1,0.7338048870598499,0.5700376672200058,0.5375408598748301,0.6137944713848953,0.7074703491760848,0.535674224156345,0.7296632574043949,0.8152595272555141,0.673505127642718,0.505479427995599
"(0, 0, 1, 0, 0)","(0, 0, 12, 7)",0.6508356033487438,1161.1,0.7565404604891479,0.5938750322922546,0.42527866035038187,0.5918980510439281,0.7651078982354054,0.5100870814109736,0.717806118646077,0.800379989774987,0.7742070607948289,0.4117699649074435
"(0, 0, 1, 0, 1)","(0, 0, 12, 7)",0.668058427006709,1087.1,0.7337636475986444,0.5794289466983946,0.5250151045777407,0.6127358996249268,0.702246163462631,0.544529040935448,0.7284687172825058,0.8227647227645892,0.6825784401433056,0.4818798450590217
"(0, 0, 1, 1, 0)","(0, 0, 12, 7)",0.6798942814147784,1070.1,0.7501126069927654,0.6036296231083191,0.5181894809975568,0.6239772370328804,0.7943717744300929,0.5175587158317632,0.732861045443422,0.7522171431493,0.7774479235600104,0.5281233463268732
"(0, 0, 1, 1, 1)","(0, 0, 12, 7)",0.6369031999114126,1163.2,0.7305510553582366,0.4875006866790102,0.5102202371106098,0.5760906597159522,0.6933130102095231,0.46193317183105087,0.7441481120178414,0.81673027072696,0.5994801966127529,0.4565869183867127
"(0, 1, 0, 0, 0)","(0, 0, 12, 7)",0.6550656426001007,1142.2,0.7287444694382101,0.6396479056661531,0.43819334796493603,0.6021952410230997,0.7283160276163191,0.573792182601592,0.6125761125125809,0.783580368186874,0.7660564464060633,0.42463994022682944
"(0, 1, 0, 0, 1)","(0, 0, 12, 7)",0.6176238419879565,1237.6,0.6476278184573324,0.5305585593341038,0.526490152289443,0.5682255100269598,0.6415837797225276,0.48123940792722947,0.69759426590849,0.6964288438352633,0.6700259175011403,0.4901910499219776
"(0, 1, 0, 1, 0)","(0, 0, 12, 7)",0.6777406001577344,1068.1,0.7547920985666097,0.606954705522614,0.5229286023494115,0.6282251354795451,0.8194418358976062,0.5207157203790341,0.6534716864681339,0.736635660734769,0.7906448861234268,0.543752099176464
"(0, 1, 0, 1, 1)","(0, 0, 12, 7)",0.6664218295688418,1068.6,0.7301576039378379,0.5449859664907557,0.5705691624284357,0.6152375776190098,0.7172744043918494,0.5127368325863564,0.6975101548952954,0.7777761608843156,0.6562863233198116,0.5315560768011721
"(0, 1, 1, 0, 0)","(0, 0, 12, 7)",0.6719003005214331,1085.8,0.7539251453595824,0.6042599358303996,0.5026949844423962,0.6202933552107928,0.8091861265679254,0.5203565394062453,0.6434312392640886,0.745020662835613,0.7817624311461628,0.5162206414091982
"(0, 1, 1, 0, 1)","(0, 0, 12, 7)",0.6718242326844485,1054.6,0.7333525158847598,0.5622408925824748,0.566215806793376,0.6206030717535369,0.7155763783435434,0.5250480718550274,0.700390072988158,0.7856577140508809,0.6726402500569246,0.5191522904705824
"(0, 1, 1, 1, 0)","(0, 0, 12, 7)",0.6808472912365033,1060.5,0.7540793692688109,0.5909423964027785,0.5404207925932941,0.6284808527549612,0.8347567689846123,0.5072192991330036,0.6575512795116303,0.7242059336286001,0.7687823854530242,0.5739222557179249
"(0, 1, 1, 1, 1)","(0, 0, 12, 7)",0.6410056244153368,1134.6,0.7346343496038803,0.48666883147884804,0.5322384136064849,0.5845138648964043,0.7126107064744145,0.45913716511957414,0.7126230498045343,0.7909102524305807,0.6098797634432742,0.47022866356810644
