Kombinace rysů,délka úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 12, 6)",0.6891797698089746,1049.7777777777778,0.7487589661142336,0.6587257341613112,0.4686745053479313,0.6253864018744921,0.733530213733574,0.6070086146594692,0.7009915152979764,0.8331418537264951,0.7639091947101537,0.42264189916617234
"(0, 0, 0, 1, 0)","(0, 0, 12, 6)",0.6581216272576345,1150.4444444444443,0.7543471815742687,0.6044884801461424,0.43192777744075755,0.5969211463870563,0.785629729867273,0.5228522062442091,0.7003356309901522,0.7737293854073588,0.7777046077565288,0.44030500009277507
"(0, 0, 0, 1, 1)","(0, 0, 12, 6)",0.6660753918003827,1100.111111111111,0.7375547367069514,0.5732433071071829,0.5068696621788273,0.6058892353309873,0.7184052474518993,0.5416958288101853,0.7055465730518908,0.8144227922439343,0.6730999975444131,0.48254088875566103
"(0, 0, 1, 0, 0)","(0, 0, 12, 6)",0.657084604321427,1151.7777777777778,0.757398411917076,0.6076831828637443,0.41736013696743895,0.5941472439160864,0.7791550335590766,0.5297630934298782,0.6930442233550554,0.788771930704632,0.7717624530158447,0.4200447809220517
"(0, 0, 1, 0, 1)","(0, 0, 12, 6)",0.6662780412018943,1102.2222222222222,0.7387540287447533,0.5818790275987218,0.48963135854922435,0.6034214716308999,0.7125652793311187,0.5507963546265859,0.7018437140394321,0.8263882909664705,0.6772532901087726,0.45242469980246214
"(0, 0, 1, 1, 0)","(0, 0, 12, 6)",0.6833660183887929,1069.111111111111,0.7515770027301425,0.6159815466139336,0.5030919367972488,0.6235501620471082,0.8076528857943367,0.5358158977830896,0.7084952604873749,0.7456181599005332,0.7735203363410331,0.531456756661343
"(0, 0, 1, 1, 1)","(0, 0, 12, 6)",0.6378467186674497,1157.888888888889,0.7381417747071732,0.49014197350264777,0.48722649472405916,0.5718367476446267,0.6980677500578962,0.4712687155140928,0.7374336008012572,0.82682916315664,0.5945826057510931,0.41185051758085467
"(0, 1, 0, 0, 0)","(0, 0, 12, 6)",0.6636660474058068,1125.0,0.7342875057249955,0.6519248076689005,0.4325459121532323,0.6062527418490427,0.7463429531752691,0.5910850019125132,0.5970903414641953,0.776448849735072,0.771131701904578,0.43156349915343717
"(0, 1, 0, 0, 1)","(0, 0, 12, 6)",0.6725267596435036,1076.0,0.7339850850732272,0.5983407278587596,0.4996682433431378,0.6106646854250415,0.7172016776557246,0.5621770351544789,0.6621675172754119,0.7968078305532432,0.697061549242656,0.47010351585720156
"(0, 1, 0, 1, 0)","(0, 0, 12, 6)",0.685929803207208,1051.6666666666667,0.7568239948493488,0.6240767661729435,0.5170197059886257,0.632640155670306,0.8316852508504973,0.5431166157029682,0.6375590868676012,0.733379933853729,0.7918697786837443,0.5540368895035388
"(0, 1, 0, 1, 1)","(0, 0, 12, 6)",0.6644189266114378,1082.5555555555557,0.7384442571760751,0.5461441680333071,0.5290498900373107,0.6045461050822311,0.7259377280633438,0.5185019674179556,0.662401924300077,0.7876975617452833,0.6467458942216795,0.4974784232402663
"(0, 1, 1, 0, 0)","(0, 0, 12, 6)",0.681937053765086,1063.6666666666667,0.7565170858837268,0.623011608639769,0.49941240571172024,0.6263137000784054,0.8226893149943084,0.5441907644622498,0.6289020938059766,0.7412165309654606,0.784633348982835,0.528522170054164
"(0, 1, 1, 0, 1)","(0, 0, 12, 6)",0.6659328999325562,1084.0,0.7386515850532368,0.5588641482572774,0.5142508314823855,0.6039221882642998,0.7241651437479475,0.5285995458267174,0.6521579741335678,0.7912392881489472,0.656163391309601,0.4886736780559588
"(0, 1, 1, 1, 0)","(0, 0, 12, 6)",0.6912992624144513,1037.3333333333333,0.7577751746739491,0.6103122828330481,0.5356784424733106,0.6345886333267692,0.8455838063344779,0.531886515902618,0.6421329372688513,0.7263351688800705,0.7683680006876678,0.5865858466397191
"(0, 1, 1, 1, 1)","(0, 0, 12, 6)",0.6413364818660717,1137.5555555555557,0.7401100601341972,0.488500947667372,0.5060976055118744,0.5782362044378145,0.7158492880309206,0.47026541036478403,0.6878352980057945,0.8020509634865556,0.5934683429862432,0.4477968550888338
"(1, 0, 0, 0, 0)","(0, 0, 12, 6)",0.6657432688867952,1122.888888888889,0.7398987574196799,0.6532712028437584,0.42252367045692585,0.6052312102401213,0.738662764412319,0.6020730640744794,0.6140505844075224,0.8042446812031786,0.7562295696793637,0.4087290896386223
"(1, 0, 0, 0, 1)","(0, 0, 12, 6)",0.6570873239223917,1118.111111111111,0.7367437841605651,0.5442724706866102,0.5012467421029358,0.5940876656500371,0.696015424576202,0.5294595621433076,0.7162156470573295,0.8405650323238493,0.622265165999637,0.4526946116978505
"(1, 0, 0, 1, 0)","(0, 0, 12, 6)",0.6887570704344529,1046.888888888889,0.765247413584493,0.614594968167022,0.5209241332247266,0.6335888383254139,0.8291902537173184,0.536842025057319,0.6554788305114496,0.7513365290948122,0.7746434672675625,0.5528513714061057
"(1, 0, 0, 1, 1)","(0, 0, 12, 6)",0.6652581073175966,1069.0,0.749900101490125,0.5132889551167078,0.5607205875156995,0.6079698813741774,0.7120713149160094,0.5012966232385665,0.7493200061245979,0.8340169099946154,0.6033081085304381,0.49528475821855
"(1, 0, 1, 0, 0)","(0, 0, 12, 6)",0.68656669545436,1053.888888888889,0.7670696301096556,0.6138840287217459,0.5079333336169233,0.6296289974827748,0.8226064984063801,0.5394512198810636,0.6504763098797038,0.7611139316603636,0.7656253146613543,0.5325544272056153
"(1, 0, 1, 0, 1)","(0, 0, 12, 6)",0.6652533120207897,1075.3333333333333,0.7479014603455952,0.5233952694621625,0.5543993626962656,0.6085653641680078,0.7084759682063255,0.508067984984903,0.7523436528754311,0.8383137015914754,0.6131266415769088,0.48047998228320676
"(1, 0, 1, 1, 0)","(0, 0, 12, 6)",0.694448734228716,1027.4444444444443,0.7678244491633257,0.5959731918213874,0.5463246541747134,0.6367074317198089,0.8475809267862598,0.5200795465450911,0.6632311318987575,0.743470424891378,0.7509135622207949,0.589984162907164
"(1, 0, 1, 1, 1)","(0, 0, 12, 6)",0.6655000497922821,1049.5555555555557,0.7660301449644594,0.49395640022575066,0.5377944424795025,0.5992603292232376,0.7188012103121404,0.4917191414954856,0.7446549739889803,0.8484241353308283,0.5770099304049602,0.4688744941121878
"(1, 1, 0, 0, 0)","(0, 0, 12, 6)",0.6722399600688816,1099.2222222222222,0.7384904969242929,0.6465189573838471,0.4564323462641615,0.6138139335241005,0.757395418872879,0.5926044454449428,0.5900591648026047,0.7713411557592046,0.7563284990618716,0.45650270486620337
"(1, 1, 0, 0, 1)","(0, 0, 12, 6)",0.6604146194674515,1100.2222222222222,0.7336413680279286,0.5620561644624513,0.4948877823978049,0.5968617716293949,0.6923490665976391,0.5494426290904245,0.6650771072282828,0.8247846691411456,0.6313052985832203,0.46070796281451365
"(1, 1, 0, 1, 0)","(0, 0, 12, 6)",0.6913753466749878,1033.7777777777778,0.7553482788393827,0.6300199967596276,0.522554780169076,0.6359743519226956,0.8203251068565618,0.5744038804417677,0.6098599986559093,0.7404617595133702,0.7636587763127047,0.5464432690540844
"(1, 1, 0, 1, 1)","(0, 0, 12, 6)",0.6711518373249911,1050.111111111111,0.7426837798374711,0.5502915249174217,0.5490867167211002,0.6140206738253311,0.7082878952260104,0.55282200658359,0.6822800498629955,0.8171038790991383,0.624088963244541,0.5039781195110926
"(1, 1, 1, 0, 0)","(0, 0, 12, 6)",0.6815864862745081,1065.888888888889,0.755546608804302,0.6120713152526819,0.5021623730272646,0.6232600990280829,0.8190256434384112,0.5404569306563416,0.6043544746525148,0.7422352460591115,0.7610720928522484,0.5251886724993464
"(1, 1, 1, 0, 1)","(0, 0, 12, 6)",0.6669638383992151,1065.888888888889,0.7439325891807103,0.5396191667942352,0.5293265836382292,0.6042927798710581,0.7050905663474301,0.5287188070220166,0.6695650951503452,0.8233766379051466,0.617190143904401,0.4843918891841713
"(1, 1, 1, 1, 0)","(0, 0, 12, 6)",0.6741266123985208,1074.0,0.7520043718896979,0.572092050900999,0.5137100138624027,0.6126021455510332,0.8037569818255216,0.5074416322494645,0.6235462026019974,0.7462695621587011,0.7290026002384065,0.4988755117341226
"(1, 1, 1, 1, 1)","(0, 0, 12, 6)",0.6647064307073696,1052.6666666666667,0.7555661552337779,0.5105989020359915,0.5248078796664479,0.5969909789787392,0.713980109299349,0.5098099152593156,0.6767018528772788,0.8289812832898639,0.5856157417720311,0.4699236147592328
"(0, 0, 0, 0, 1)","(0, 0, 12, 7)",0.6974384343086649,1024.111111111111,0.7530016744653137,0.6524063014791959,0.49804751066047653,0.6344851622016621,0.7431797252225283,0.6012774243199939,0.7065172109943317,0.8273376204215602,0.752945625010694,0.4571795642889041
"(0, 0, 0, 1, 0)","(0, 0, 12, 7)",0.6581216272576345,1150.4444444444443,0.7543471815742687,0.6044884801461424,0.43192777744075755,0.5969211463870563,0.785629729867273,0.5228522062442091,0.7003356309901522,0.7737293854073588,0.7777046077565288,0.44030500009277507
"(0, 0, 0, 1, 1)","(0, 0, 12, 7)",0.6743535841083342,1073.2222222222222,0.7383127959629069,0.5825486375641318,0.5296307156553062,0.616830716394115,0.7177587417616781,0.558236280637776,0.707987519564974,0.8175682029237186,0.6669804209195023,0.5112335738680067
"(0, 0, 1, 0, 0)","(0, 0, 12, 7)",0.657084604321427,1151.7777777777778,0.757398411917076,0.6076831828637443,0.41736013696743895,0.5941472439160864,0.7791550335590766,0.5297630934298782,0.6930442233550554,0.788771930704632,0.7717624530158447,0.4200447809220517
"(0, 0, 1, 0, 1)","(0, 0, 12, 7)",0.6751718330394021,1072.7777777777778,0.7387335673445568,0.5916878261073418,0.5174855254921347,0.6159689729813445,0.7131123121188842,0.5670300961533931,0.7069584896269733,0.8251672731003101,0.6754821004225249,0.48688916173294167
"(0, 0, 1, 1, 0)","(0, 0, 12, 7)",0.6833660183887929,1069.111111111111,0.7515770027301425,0.6159815466139336,0.5030919367972488,0.6235501620471082,0.8076528857943367,0.5358158977830896,0.7084952604873749,0.7456181599005332,0.7735203363410331,0.531456756661343
