Kombinace rysů,délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)",5,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 0, 0, 1, 0)",5,0.9400000000000001,0.9446201739228467,0.926928451906748,1.0,0.9571828752765315,0.9981981981981981,0.8658991277791028,1.0,0.8966666666666667,0.9974999999999999,1.0
"(0, 0, 0, 1, 1)",5,0.580952380952381,0.717948717948718,0.0,0.7692307692307693,0.49572649572649574,0.5833333333333334,0.0,0.625,0.9333333333333333,0.0,1.0
"(0, 0, 1, 0, 0)",5,0.9419047619047619,0.9464589298290653,0.9291044937701605,1.0,0.9585211411997421,0.9982142857142857,0.8697467372321583,1.0,0.9,0.9974999999999999,1.0
"(0, 0, 1, 0, 1)",5,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 0, 1, 1, 0)",5,0.9342857142857144,0.9399100586412195,0.9525607909884505,0.7692307692307693,0.8872338729534797,0.9836330486330486,0.9290262744519933,0.625,0.9,0.9775,1.0
"(0, 0, 1, 1, 1)",5,0.9342857142857144,0.9400145897322314,0.9642151608437448,0.7142857142857143,0.8728384882872302,0.9819275027239629,0.9539314178554685,0.5555555555555556,0.9016666666666667,0.975,1.0
"(0, 1, 0, 0, 0)",5,0.582857142857143,0.7177803132455141,0.022322097378277155,1.0,0.580034136874597,0.5850812896114632,0.10444444444444442,1.0,0.9283333333333333,0.0125,1.0
"(0, 1, 0, 0, 1)",5,0.5628571428571428,0.7017555734168112,0.004301075268817204,1.0,0.5686855495618761,0.5750824894754808,0.015384615384615385,1.0,0.9,0.0025,1.0
"(0, 1, 0, 1, 0)",5,0.917142857142857,0.92194635650518,0.9017280488013648,1.0,0.9412248017688484,0.998076923076923,0.8227981344052774,1.0,0.8566666666666667,0.9974999999999999,1.0
"(0, 1, 0, 1, 1)",5,0.5657142857142856,0.7046287046287046,0.0,1.0,0.5682095682095682,0.5762411347517731,0.0,1.0,0.9066666666666666,0.0,1.0
"(0, 1, 1, 0, 0)",5,0.919047619047619,0.9238517676818916,0.9038072693332613,1.0,0.9425530123383844,0.9980582524271846,0.8262933184257111,1.0,0.86,0.9974999999999999,1.0
"(0, 1, 1, 0, 1)",5,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(0, 1, 1, 1, 0)",5,0.9114285714285714,0.9165491205491205,0.8949738800525318,1.0,0.9371743335338841,0.9922128851540617,0.816655925528106,1.0,0.8516666666666668,0.99,1.0
"(0, 1, 1, 1, 1)",5,0.5780952380952382,0.7150755867368246,0.004301075268817204,1.0,0.5731255540018807,0.5821746880570411,0.015384615384615385,1.0,0.9266666666666667,0.0025,1.0
"(1, 0, 0, 0, 0)",5,0.6009523809523809,0.7343047317021356,0.00935704514363885,1.0,0.5812205922819247,0.5926331008216134,0.07333333333333333,1.0,0.9650000000000001,0.005,1.0
"(1, 0, 0, 0, 1)",5,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(1, 0, 0, 1, 0)",5,0.858095238095238,0.8891423975229564,0.7332903066248221,1.0,0.8741442347159263,0.911616111249619,0.6968815563921491,1.0,0.8883333333333334,0.7950000000000002,1.0
"(1, 0, 0, 1, 1)",5,0.5714285714285714,0.7096774193548387,0.0,0.8190476190476191,0.5095750128008192,0.5789473684210527,0.0,0.7079365079365079,0.9166666666666666,0.0,1.0
"(1, 0, 1, 0, 0)",5,0.9333333333333333,0.9381534593569418,0.91936526330962,1.0,0.9525062408888539,0.9981481481481481,0.8526287257339433,1.0,0.885,0.9974999999999999,1.0
"(1, 0, 1, 0, 1)",5,0.5714285714285714,0.7096774193548387,0.0,0.8333333333333334,0.514336917562724,0.5789473684210527,0.0,0.7142857142857143,0.9166666666666666,0.0,1.0
"(1, 0, 1, 1, 0)",5,0.9257142857142856,0.9315367180188551,0.9537279314942113,0.7142857142857143,0.866516787932927,0.9833638094638614,0.9312637959666231,0.5555555555555556,0.885,0.9775,1.0
"(1, 0, 1, 1, 1)",5,0.7866666666666667,0.8452784857570774,0.5801824385289441,0.7999999999999999,0.7418203080953405,0.8214942177219994,0.5756245395485902,0.7,0.9033333333333333,0.585,1.0
"(1, 1, 0, 0, 0)",5,0.582857142857143,0.7188751033912324,0.008888888888888889,1.0,0.5759213307600405,0.584561403508772,0.04,1.0,0.9333333333333333,0.005,1.0
"(1, 1, 0, 0, 1)",5,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(1, 1, 0, 1, 0)",5,0.579047619047619,0.7148262740495751,0.017486860965121837,1.0,0.5774377116715657,0.5831588427333109,0.0696969696969697,1.0,0.9233333333333335,0.01,1.0
"(1, 1, 0, 1, 1)",5,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(1, 1, 1, 0, 0)",5,0.580952380952381,0.7157615617496609,0.02652014652014652,1.0,0.580760569423269,0.5843887496519076,0.11454545454545455,1.0,0.9233333333333332,0.015000000000000003,1.0
"(1, 1, 1, 0, 1)",5,0.5628571428571428,0.7017555734168112,0.004301075268817204,1.0,0.5686855495618761,0.5750824894754807,0.015384615384615385,1.0,0.9,0.0025,1.0
"(1, 1, 1, 1, 0)",5,0.7257142857142858,0.8083609093578848,0.35908562572646263,1.0,0.7224821783614491,0.7513284559106662,0.3292227529309596,1.0,0.9233333333333335,0.395,1.0
"(1, 1, 1, 1, 1)",5,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(0, 0, 0, 0, 1)",6,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 0, 0, 1, 0)",6,0.8533333333333333,0.8846253172856755,0.7250433827066078,1.0,0.8698895666640946,0.914797507788162,0.6647728995156427,1.0,0.8783333333333333,0.7975,1.0
"(0, 0, 0, 1, 1)",6,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 0, 1, 0, 0)",6,0.9323809523809524,0.9371591633177314,0.9183862428787091,1.0,0.9518484687321468,0.998165137614679,0.8510855163954147,1.0,0.8833333333333334,0.9974999999999999,1.0
"(0, 0, 1, 0, 1)",6,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 0, 1, 1, 0)",6,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 0, 1, 1, 1)",6,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 1, 0, 0, 0)",6,0.582857142857143,0.7177803132455141,0.022322097378277155,1.0,0.580034136874597,0.5850812896114632,0.10444444444444442,1.0,0.9283333333333333,0.0125,1.0
"(0, 1, 0, 0, 1)",6,0.5533333333333333,0.6932647594556949,0.004210526315789474,1.0,0.5658250952571614,0.5705085730892183,0.013333333333333332,1.0,0.8833333333333332,0.0025,1.0
"(0, 1, 0, 1, 0)",6,0.5619047619047619,0.7009095139388298,0.004301075268817204,1.0,0.5684035297358824,0.574627375128001,0.015384615384615385,1.0,0.8983333333333334,0.0025,1.0
