Kombinace rysů,délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)",5,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 0, 0, 1, 0)",5,0.919047619047619,0.9250636544001709,0.9080983003064421,0.9538461538461538,0.9290027028509223,0.9801902654867257,0.853639984885606,0.925,0.8766666666666667,0.9724999999999999,1.0
"(0, 0, 0, 1, 1)",5,0.9123809523809523,0.9196219701269651,0.9372156746658883,0.7093596059113301,0.8553990835680612,0.9663535724378622,0.9243538010762038,0.5497076023391813,0.8783333333333333,0.9525,1.0
"(0, 0, 1, 0, 0)",5,0.9266666666666667,0.9319098891248189,0.9113473985036442,1.0,0.9477524292094877,0.9908793590354055,0.8466699979334109,1.0,0.8799999999999999,0.9875,1.0
"(0, 0, 1, 0, 1)",5,0.9199999999999999,0.9258848870630926,0.947919790483126,0.7093596059113301,0.8610547611525161,0.9818318995794101,0.9233779843608586,0.5497076023391813,0.8766666666666666,0.975,1.0
"(0, 0, 1, 1, 0)",5,0.8990476190476191,0.9157732354250424,0.9092945564887636,0.7103859103859104,0.8451512340999054,0.9762504649762107,0.8832225508403756,0.5546035805626599,0.8633333333333333,0.9400000000000001,1.0
"(0, 0, 1, 1, 1)",5,0.9057142857142857,0.9119629428616468,0.9305159452672538,0.7093596059113301,0.8506128313467436,0.9742287094025951,0.9002367070890113,0.5497076023391813,0.8583333333333334,0.9649999999999999,1.0
"(0, 1, 0, 0, 0)",5,0.6428571428571428,0.5915559528524427,0.6530780137056548,1.0,0.7482113221860324,0.8536959628028358,0.5185337203653577,1.0,0.4533333333333334,0.8825000000000001,1.0
"(0, 1, 0, 0, 1)",5,0.5647619047619047,0.703815028274784,0.0,1.0,0.5679383427582614,0.5758142400919557,0.0,1.0,0.905,0.0,1.0
"(0, 1, 0, 1, 0)",5,0.9238095238095239,0.9287263745689,0.9087031387211976,1.0,0.9458098377633659,0.9928211066082209,0.840849014049734,1.0,0.8733333333333333,0.99,1.0
"(0, 1, 0, 1, 1)",5,0.5761904761904761,0.713805038264794,0.0,1.0,0.5712683460882648,0.5811333890281258,0.0,1.0,0.925,0.0,1.0
"(0, 1, 1, 0, 0)",5,0.9276190476190477,0.9327340316529973,0.9125916059561929,1.0,0.9484418792030634,0.9928211066082209,0.8470487061177157,1.0,0.8799999999999999,0.99,1.0
"(0, 1, 1, 0, 1)",5,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 1, 1, 1, 0)",5,0.9066666666666666,0.9123510752266117,0.9075328020443386,0.8615384615384615,0.893807446269804,0.9798353370288562,0.8528999981010422,0.775,0.8550000000000001,0.9724999999999999,1.0
"(0, 1, 1, 1, 1)",5,0.9047619047619048,0.9111468801621759,0.9292489769414619,0.7093596059113301,0.8499184876716559,0.9723059985706894,0.8999620504098603,0.5497076023391813,0.8583333333333334,0.9624999999999998,1.0
"(1, 0, 0, 0, 0)",5,0.6580952380952381,0.7648223000938656,0.19613408281138528,1.0,0.6536521276350835,0.6689510800334483,0.3157142857142857,1.0,0.9316666666666666,0.205,1.0
"(1, 0, 0, 0, 1)",5,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(1, 0, 0, 1, 0)",5,0.9038095238095238,0.9109889323413258,0.9260136665316407,0.7146506112023353,0.8505510700251004,0.9673307361242205,0.9004231599091472,0.5562435500515996,0.8616666666666667,0.9550000000000001,1.0
"(1, 0, 0, 1, 1)",5,0.9028571428571428,0.9101047529152824,0.9372156746658883,0.6623655913978495,0.8365620063263399,0.965746019245386,0.9243538010762038,0.49523809523809526,0.8616666666666667,0.9525,1.0
"(1, 0, 1, 0, 0)",5,0.9104761904761904,0.9163404821219021,0.9344194739868616,0.7195767195767196,0.8567788918951612,0.9814953187430252,0.8983184279194439,0.5620915032679739,0.86,0.975,1.0
"(1, 0, 1, 0, 1)",5,0.9085714285714286,0.914710249132461,0.9453595283604029,0.6623655913978495,0.8408117896302377,0.9778161194327579,0.9231040839560108,0.49523809523809526,0.86,0.97,1.0
"(1, 0, 1, 1, 0)",5,0.8933333333333333,0.9060939399431256,0.9135608454665544,0.6831168831168831,0.8342572228421877,0.9758075645048121,0.8820138642719287,0.5202898550724638,0.8466666666666667,0.95,1.0
"(1, 0, 1, 1, 1)",5,0.8961904761904762,0.9022302427935767,0.9305159452672538,0.6623655913978495,0.8317039264862267,0.973744059185208,0.9002367070890113,0.49523809523809526,0.8416666666666668,0.9649999999999999,1.0
"(1, 1, 0, 0, 0)",5,0.5800000000000001,0.7163856834260843,0.008888888888888889,1.0,0.5750915241049912,0.5832386521860207,0.04,1.0,0.9283333333333335,0.005,1.0
"(1, 1, 0, 0, 1)",5,0.5647619047619047,0.703815028274784,0.0,1.0,0.5679383427582614,0.5758142400919557,0.0,1.0,0.905,0.0,1.0
"(1, 1, 0, 1, 0)",5,0.8352380952380953,0.8690305506391891,0.7072111886134683,1.0,0.8587472464175523,0.8839416365318307,0.674981340053752,1.0,0.8733333333333334,0.7575000000000001,1.0
"(1, 1, 0, 1, 1)",5,0.5647619047619047,0.703815028274784,0.0,1.0,0.5679383427582614,0.5758142400919557,0.0,1.0,0.905,0.0,1.0
"(1, 1, 1, 0, 0)",5,0.9266666666666667,0.9319098891248189,0.9113473985036442,1.0,0.9477524292094877,0.9908793590354055,0.8466699979334109,1.0,0.8799999999999999,0.9875,1.0
"(1, 1, 1, 0, 1)",5,0.5666666666666667,0.7051070606392662,0.004301075268817204,0.9538461538461538,0.5544180965847458,0.5768742028013486,0.015384615384615385,0.925,0.9066666666666666,0.0025,1.0
"(1, 1, 1, 1, 0)",5,0.8990476190476191,0.905106691897054,0.9206728787125911,0.7195767195767196,0.8484520967287882,0.9758075645048121,0.8799228737336022,0.5620915032679739,0.8450000000000001,0.9674999999999999,1.0
"(1, 1, 1, 1, 1)",5,0.8314285714285713,0.8634385832710769,0.7453980452644432,0.7290322580645161,0.7792896288666787,0.8985823111417413,0.7172460010271442,0.5952380952380952,0.8533333333333333,0.7775,1.0
"(0, 0, 0, 0, 1)",6,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 0, 0, 1, 0)",6,0.9114285714285714,0.916980281247128,0.8941913296818248,1.0,0.9370572036429842,0.9826619446540347,0.8244577577979955,1.0,0.86,0.9775,1.0
"(0, 0, 0, 1, 1)",6,0.7114285714285714,0.7969384186690227,0.3838650306748466,0.8666666666666666,0.6824900386701787,0.7382265349013997,0.3803614457831325,0.8,0.9033333333333333,0.3875,1.0
"(0, 0, 1, 0, 0)",6,0.9161904761904761,0.9216997721376818,0.9081968846763436,0.9428571428571428,0.9242512665570561,0.98704398880255,0.8460990372975153,0.9111111111111111,0.865,0.9824999999999999,1.0
"(0, 0, 1, 0, 1)",6,0.9199999999999999,0.9257433682809495,0.9586138397150746,0.6666666666666666,0.8503412915542302,0.9833204831186484,0.9412248633195837,0.5,0.875,0.9775,1.0
"(0, 0, 1, 1, 0)",6,0.7133333333333334,0.8009879042630134,0.37642854740523995,0.8678571428571429,0.6817578648417989,0.7455370795107034,0.38758790436005625,0.8020202020202021,0.9083333333333332,0.385,1.0
"(0, 0, 1, 1, 1)",6,0.6409523809523808,0.7528947739118188,0.19130434782608696,0.9333333333333332,0.625844151690413,0.6576533075808788,0.19012345679012346,0.9,0.9099999999999999,0.1925,1.0
"(0, 1, 0, 0, 0)",6,0.6428571428571428,0.5915559528524427,0.6530780137056548,1.0,0.7482113221860324,0.8536959628028358,0.5185337203653577,1.0,0.4533333333333334,0.8825000000000001,1.0
"(0, 1, 0, 0, 1)",6,0.5552380952380952,0.6953596955513032,0.0,1.0,0.5651198985171011,0.5712676035660411,0.0,1.0,0.8883333333333333,0.0,1.0
"(0, 1, 0, 1, 0)",6,0.8923809523809523,0.8980451662340346,0.8730666252612445,1.0,0.9237039304984263,0.9748107566323732,0.7962421579714617,1.0,0.8333333333333334,0.9675,1.0
"(0, 1, 0, 1, 1)",6,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 1, 1, 0, 0)",6,0.9180952380952381,0.9231825474894529,0.9022652457631096,1.0,0.9418159310841876,0.9924786764390724,0.8292822966507177,1.0,0.8633333333333333,0.99,1.0
"(0, 1, 1, 0, 1)",6,0.5723809523809523,0.7101367574903434,0.004395604395604396,1.0,0.571510787295316,0.5795600111389585,0.01818181818181818,1.0,0.9166666666666666,0.0025,1.0
"(0, 1, 1, 1, 0)",6,0.6400000000000001,0.7502933838294037,0.17049180327868851,1.0,0.6402617290360308,0.6629747342556487,0.15145631067961166,1.0,0.9066666666666666,0.195,1.0
"(0, 1, 1, 1, 1)",6,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(1, 0, 0, 0, 0)",6,0.6580952380952381,0.7648223000938656,0.19613408281138528,1.0,0.6536521276350835,0.6689510800334483,0.3157142857142857,1.0,0.9316666666666666,0.205,1.0
"(1, 0, 0, 0, 1)",6,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(1, 0, 0, 1, 0)",6,0.8333333333333333,0.8662963156249457,0.7445419741717358,0.7379310344827587,0.7829231080931468,0.8913075381742377,0.7238158259637013,0.6052631578947368,0.8633333333333333,0.7675,1.0
