Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 12, 5)",0.5564803804994055,1492,0.7147738693467337,0.0,0.15309446254071662,0.2892894439624834,0.5561463872380357,0.0,1.0,1.0,0.0,0.08289241622574955
"(0, 0, 0, 1, 0)","(0, 0, 12, 5)",0.5448870392390012,1531,0.7475216199114111,0.007547169811320755,0.09731543624161074,0.2841280753214475,0.5980425244684442,0.008746355685131196,1.0,0.9966254218222722,0.00663716814159292,0.05114638447971781
"(0, 0, 0, 1, 1)","(0, 0, 12, 5)",0.5627229488703924,1471,0.7408797164894726,0.008771929824561403,0.18123496391339214,0.3102955367424754,0.5886054985094402,0.01293103448275862,1.0,0.999437570303712,0.00663716814159292,0.09964726631393298
"(0, 0, 1, 0, 0)","(0, 0, 12, 5)",0.5564803804994055,1492,0.7469525010508618,0.02925531914893617,0.13793103448275862,0.3047129515608522,0.5963087248322148,0.03666666666666667,1.0,0.999437570303712,0.024336283185840708,0.07407407407407407
"(0, 0, 1, 0, 1)","(0, 0, 12, 5)",0.5653983353151011,1462,0.7368857557536803,0.021439509954058193,0.18849840255591055,0.31560788942121637,0.5835796387520525,0.03482587064676617,1.0,0.999437570303712,0.015486725663716814,0.10405643738977072
"(0, 0, 1, 1, 0)","(0, 0, 12, 5)",0.5425089179548157,1539,0.7778270509977827,0.04660194174757282,0.07912457912457913,0.3011845239566449,0.6420204978038068,0.04152249134948097,0.8703703703703703,0.9865016872890888,0.05309734513274336,0.04144620811287478
"(0, 0, 1, 1, 1)","(0, 0, 12, 5)",0.566884661117717,1457,0.7752040591219943,0.053763440860215055,0.1976284584980237,0.3421986528267444,0.6377495462794919,0.05230125523012552,0.9541984732824428,0.9881889763779528,0.05530973451327434,0.11022927689594356
"(0, 1, 0, 0, 0)","(0, 0, 12, 5)",0.14625445897740785,2872,0.0,0.1836441893830703,0.25806451612903225,0.14723623517070086,0.0,0.10550609957138148,0.864321608040201,0.0,0.7079646017699115,0.15167548500881833
"(0, 1, 0, 0, 1)","(0, 0, 12, 5)",0.5505350772889417,1512,0.7294614572333685,0.026881720430107527,0.18414731785428343,0.31349683183925314,0.5840378762259046,0.03424657534246575,1.0,0.9713160854893138,0.022123893805309734,0.10141093474426807
"(0, 1, 0, 1, 0)","(0, 0, 12, 5)",0.5332936979785969,1570,0.7586358635863586,0.022448979591836733,0.09808811305070657,0.29305765207630063,0.6230574629562703,0.020833333333333332,0.855072463768116,0.96962879640045,0.024336283185840708,0.05202821869488536
"(0, 1, 0, 1, 1)","(0, 0, 12, 5)",0.5520214030915577,1507,0.7538899846592154,0.024444444444444446,0.1992094861660079,0.32584797175655594,0.6175942549371634,0.024553571428571428,0.9618320610687023,0.9673790776152981,0.024336283185840708,0.1111111111111111
"(0, 1, 1, 0, 0)","(0, 0, 12, 5)",0.5380499405469679,1554,0.7570770243581304,0.03138075313807531,0.11522633744855967,0.3012280383149218,0.620726880172724,0.02976190476190476,0.8641975308641975,0.9701912260967379,0.033185840707964605,0.06172839506172839
"(0, 1, 1, 0, 1)","(0, 0, 12, 5)",0.5535077288941737,1502,0.7457111834961998,0.04428904428904429,0.1992094861660079,0.32973657131708395,0.6073576229218253,0.046798029556650245,0.9618320610687023,0.9656917885264342,0.0420353982300885,0.1111111111111111
"(0, 1, 1, 1, 0)","(0, 0, 12, 5)",0.5508323424494649,1511,0.7790909090909091,0.0453257790368272,0.18124507486209615,0.33522058766327745,0.6536994660564455,0.039538714991762765,0.8518518518518519,0.9640044994375703,0.05309734513274336,0.10141093474426807
"(0, 1, 1, 1, 1)","(0, 0, 12, 5)",0.5564803804994055,1492,0.7749661093538184,0.05252918287937743,0.20408163265306123,0.34385897496208573,0.6476586102719033,0.046875,0.9285714285714286,0.9645669291338582,0.059734513274336286,0.1146384479717813
"(1, 0, 0, 0, 0)","(0, 0, 12, 5)",0.5463733650416172,1526,0.7420252622564761,0.06847697756788666,0.1256198347107438,0.31204069151170216,0.5990321465606637,0.07341772151898734,1.0,0.9746906636670416,0.06415929203539823,0.06701940035273368
"(1, 0, 0, 0, 1)","(0, 0, 12, 5)",0.5600475624256838,1480,0.7361782636115198,0.01969057665260197,0.2,0.31862294675470726,0.5877811346089292,0.02702702702702703,1.0,0.984814398200225,0.015486725663716814,0.1111111111111111
"(1, 0, 0, 1, 0)","(0, 0, 12, 5)",0.5653983353151011,1462,0.7761059959577813,0.06406406406406406,0.2225705329153605,0.35424686431240193,0.6459813084112149,0.05850091407678245,1.0,0.9718785151856018,0.07079646017699115,0.12522045855379188
"(1, 0, 0, 1, 1)","(0, 0, 12, 5)",0.5656956004756243,1461,0.7634763476347635,0.05088495575221239,0.22673964034401878,0.34703364791033153,0.6270328876039032,0.05088495575221239,1.0,0.9758155230596175,0.05088495575221239,0.12786596119929453
"(1, 0, 1, 0, 0)","(0, 0, 12, 5)",0.5674791914387634,1455,0.774294670846395,0.08484848484848485,0.2169811320754717,0.35870809592345054,0.6432291666666666,0.07806691449814127,1.0,0.9724409448818898,0.09292035398230089,0.12169312169312169
"(1, 0, 1, 0, 1)","(0, 0, 12, 5)",0.5677764565992865,1454,0.7586357673808483,0.07077625570776255,0.22535211267605634,0.351588045254889,0.6205293276108726,0.07311320754716981,1.0,0.9758155230596175,0.06858407079646017,0.12698412698412698
"(1, 0, 1, 1, 0)","(0, 0, 12, 5)",0.571640903686088,1441,0.7900502053856686,0.06863679694947569,0.2405551272166538,0.36641404318393267,0.6647465437788018,0.06030150753768844,0.9570552147239264,0.9735658042744657,0.07964601769911504,0.13756613756613756
"(1, 0, 1, 1, 1)","(0, 0, 12, 5)",0.5683709869203329,1452,0.7834351663272233,0.06274509803921569,0.23118696664080682,0.3591224103357486,0.6554335478985233,0.056338028169014086,0.9612903225806452,0.9735658042744657,0.07079646017699115,0.13139329805996472
"(1, 1, 0, 0, 0)","(0, 0, 12, 5)",0.5719381688466112,1440,0.7407087294727744,0.06753246753246753,0.27669172932330827,0.3616443087761834,0.6014035087719298,0.08176100628930817,0.9387755102040817,0.9640044994375703,0.05752212389380531,0.16225749559082892
"(1, 1, 0, 0, 1)","(0, 0, 12, 5)",0.5633174791914387,1469,0.7395429064251833,0.07701863354037267,0.23190661478599223,0.34948938491718273,0.5996503496503497,0.08781869688385269,0.9867549668874173,0.9645669291338582,0.06858407079646017,0.13139329805996472
"(1, 1, 0, 1, 0)","(0, 0, 12, 5)",0.5835315101070154,1401,0.7685393258426966,0.06935123042505593,0.3208092485549133,0.38623326827422194,0.6399700598802395,0.07013574660633484,0.888,0.9617547806524185,0.06858407079646017,0.19576719576719576
"(1, 1, 0, 1, 1)","(0, 0, 12, 5)",0.5665873959571938,1458,0.7561946902654867,0.07955801104972375,0.24712202609363007,0.36095824246961344,0.6232676878191101,0.07947019867549669,0.9526627218934911,0.9611923509561305,0.07964601769911504,0.1419753086419753
"(1, 1, 1, 0, 0)","(0, 0, 12, 5)",0.5862068965517241,1392,0.7629877369007804,0.09302325581395349,0.3195950831525669,0.39186869195576696,0.6320650166235685,0.09803921568627451,0.8875502008032129,0.9623172103487064,0.08849557522123894,0.1948853615520282
"(1, 1, 1, 0, 1)","(0, 0, 12, 5)",0.566884661117717,1457,0.7509342712684106,0.08893956670467502,0.2457757296466974,0.36188318920659435,0.6163839769036449,0.09176470588235294,0.9523809523809523,0.9606299212598425,0.08628318584070796,0.14109347442680775
"(1, 1, 1, 1, 0)","(0, 0, 12, 5)",0.5790725326991677,1416,0.7766151046405824,0.07700312174817898,0.2975929978118162,0.38373707473352586,0.6520244461420932,0.07269155206286837,0.8607594936708861,0.9600674915635545,0.08185840707964602,0.17989417989417988
"(1, 1, 1, 1, 1)","(0, 0, 12, 5)",0.5671819262782402,1456,0.7707956600361664,0.08257804632426989,0.2471395881006865,0.3668377648203743,0.6443688586545729,0.07578558225508318,0.9152542372881356,0.9589426321709786,0.09070796460176991,0.14285714285714285
"(0, 0, 0, 0, 1)","(0, 0, 12, 6)",0.5532104637336505,1503,0.7195467422096318,0.0,0.13640098603122433,0.2853159094136187,0.5619469026548672,0.0,1.0,1.0,0.0,0.07319223985890652
"(0, 0, 0, 1, 0)","(0, 0, 12, 6)",0.5448870392390012,1531,0.7475216199114111,0.007547169811320755,0.09731543624161074,0.2841280753214475,0.5980425244684442,0.008746355685131196,1.0,0.9966254218222722,0.00663716814159292,0.05114638447971781
"(0, 0, 0, 1, 1)","(0, 0, 12, 6)",0.5656956004756243,1461,0.7460117548278757,0.008486562942008486,0.1957040572792363,0.3167341250163735,0.5951105157401205,0.011764705882352941,1.0,0.999437570303712,0.00663716814159292,0.10846560846560846
"(0, 0, 1, 0, 0)","(0, 0, 12, 6)",0.5564803804994055,1492,0.7469525010508618,0.02925531914893617,0.13793103448275862,0.3047129515608522,0.5963087248322148,0.03666666666666667,1.0,0.999437570303712,0.024336283185840708,0.07407407407407407
"(0, 0, 1, 0, 1)","(0, 0, 12, 6)",0.5671819262782402,1456,0.739492301290054,0.02406015037593985,0.1957040572792363,0.3197521696484101,0.5868560105680317,0.03755868544600939,1.0,0.999437570303712,0.017699115044247787,0.10846560846560846
"(0, 0, 1, 1, 0)","(0, 0, 12, 6)",0.5425089179548157,1539,0.7778270509977827,0.04660194174757282,0.07912457912457913,0.3011845239566449,0.6420204978038068,0.04152249134948097,0.8703703703703703,0.9865016872890888,0.05309734513274336,0.04144620811287478
"(0, 0, 1, 1, 1)","(0, 0, 12, 6)",0.5704518430439952,1445,0.7743353109206768,0.048834628190899,0.2115987460815047,0.34492289506436014,0.6354129102055536,0.04899777282850779,0.9507042253521126,0.9910011248593926,0.048672566371681415,0.11904761904761904
"(0, 1, 0, 0, 0)","(0, 0, 12, 6)",0.14625445897740785,2872,0.0,0.1836441893830703,0.25806451612903225,0.14723623517070086,0.0,0.10550609957138148,0.864321608040201,0.0,0.7079646017699115,0.15167548500881833
"(0, 1, 0, 0, 1)","(0, 0, 12, 6)",0.5535077288941737,1502,0.7306960016924053,0.029609690444145357,0.1971383147853736,0.3191480023073081,0.5856222448287555,0.037800687285223365,1.0,0.9713160854893138,0.024336283185840708,0.10934744268077601
"(0, 1, 0, 1, 0)","(0, 0, 12, 6)",0.5332936979785969,1570,0.7586358635863586,0.022448979591836733,0.09808811305070657,0.29305765207630063,0.6230574629562703,0.020833333333333332,0.855072463768116,0.96962879640045,0.024336283185840708,0.05202821869488536
"(0, 1, 0, 1, 1)","(0, 0, 12, 6)",0.5546967895362663,1498,0.7514198339886413,0.02511415525114155,0.2119309262166405,0.3294883051521411,0.6142857142857143,0.025943396226415096,0.9642857142857143,0.9673790776152981,0.024336283185840708,0.11904761904761904
"(0, 1, 1, 0, 0)","(0, 0, 12, 6)",0.5380499405469679,1554,0.7570770243581304,0.03138075313807531,0.11522633744855967,0.3012280383149218,0.620726880172724,0.02976190476190476,0.8641975308641975,0.9701912260967379,0.033185840707964605,0.06172839506172839
