Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 12, 5)",0.5579667063020214,1487,0.7147738693467337,0.003838771593090211,0.1590909090909091,0.2925678500102443,0.5561463872380357,0.014492753623188406,1.0,1.0,0.0022123893805309734,0.08641975308641975
"(0, 0, 0, 1, 0)","(0, 0, 12, 5)",0.558858501783591,1484,0.7799865981684163,0.07254901960784314,0.15759545085296506,0.3367103562097415,0.6469062615783624,0.06514084507042253,1.0,0.9820022497187851,0.08185840707964602,0.0855379188712522
"(0, 0, 0, 1, 1)","(0, 0, 12, 5)",0.5737217598097503,1434,0.7707786526684165,0.052451539338654506,0.22673964034401878,0.34998994411702994,0.6306370794559771,0.05411764705882353,1.0,0.9910011248593926,0.05088495575221239,0.12786596119929453
"(0, 0, 1, 0, 0)","(0, 0, 12, 5)",0.5624256837098692,1472,0.7785920497446147,0.09027081243731194,0.15309446254071662,0.3406524415742144,0.643302752293578,0.08256880733944955,1.0,0.9859392575928009,0.09955752212389381,0.08289241622574955
"(0, 0, 1, 0, 1)","(0, 0, 12, 5)",0.5752080856123662,1429,0.7672245164094762,0.06352941176470588,0.22396241190289742,0.35157211335902644,0.6252213956783563,0.0678391959798995,1.0,0.9926884139482565,0.059734513274336286,0.12610229276895943
"(0, 0, 1, 1, 0)","(0, 0, 12, 5)",0.5763971462544589,1425,0.7663551401869159,0.09334889148191365,0.2141732283464567,0.3579590866717621,0.624512929507616,0.09876543209876543,1.0,0.9915635545556806,0.08849557522123894,0.11992945326278659
"(0, 0, 1, 1, 1)","(0, 0, 12, 5)",0.5769916765755053,1423,0.7681539807524059,0.10419026047565119,0.21838177533385703,0.36357533885397136,0.6284896206156049,0.10672853828306264,1.0,0.9876265466816648,0.10176991150442478,0.12257495590828923
"(0, 1, 0, 0, 0)","(0, 0, 12, 5)",0.1545778834720571,2844,0.022727272727272728,0.18581765557163532,0.2647718773373224,0.15777226854541015,0.13924050632911392,0.1068931068931069,0.8719211822660099,0.012373453318335208,0.7101769911504425,0.15608465608465608
"(0, 1, 0, 0, 1)","(0, 0, 12, 5)",0.5546967895362663,1498,0.7260878705066218,0.031117397454031116,0.20253164556962025,0.31991230451009106,0.5797247398455858,0.043137254901960784,0.9846153846153847,0.9713160854893138,0.024336283185840708,0.1128747795414462
"(0, 1, 0, 1, 0)","(0, 0, 12, 5)",0.5781807372175981,1419,0.7757411178999774,0.05307855626326964,0.3013899049012436,0.3767365263548302,0.6489965921999242,0.05102040816326531,0.8841201716738197,0.9640044994375703,0.05530973451327434,0.18165784832451498
"(0, 1, 0, 1, 1)","(0, 0, 12, 5)",0.5642092746730083,1466,0.7619047619047619,0.047311827956989246,0.25153374233128833,0.35358344406434644,0.6303387334315169,0.04602510460251046,0.9647058823529412,0.9628796400449944,0.048672566371681415,0.14462081128747795
"(0, 1, 1, 0, 0)","(0, 0, 12, 5)",0.58115338882283,1409,0.7742953776775648,0.07296137339055794,0.29977957384276266,0.3823454416369618,0.6462175385773429,0.07083333333333333,0.8986784140969163,0.9656917885264342,0.0752212389380531,0.17989417989417988
"(0, 1, 1, 0, 1)","(0, 0, 12, 5)",0.5662901307966707,1459,0.7609951132829853,0.06486486486486487,0.2490392006149116,0.35829972625425394,0.6288546255506607,0.06342494714587738,0.9700598802395209,0.9634420697412823,0.06637168141592921,0.14285714285714285
"(0, 1, 1, 1, 0)","(0, 0, 12, 5)",0.5841260404280618,1399,0.7644326476443265,0.09940828402366864,0.28634361233480177,0.3833948480009323,0.6299671892088954,0.10687022900763359,0.8552631578947368,0.9718785151856018,0.09292035398230089,0.17195767195767195
"(0, 1, 1, 1, 1)","(0, 0, 12, 5)",0.5728299643281808,1437,0.7718446601941747,0.10909090909090909,0.2014274385408406,0.3607876692753082,0.6350762527233116,0.10559006211180125,1.0,0.9836895388076491,0.11283185840707964,0.11199294532627865
