Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 12, 6)",0.7469737230587541,857,0.847323600973236,0.7297297297297297,0.5844994617868676,0.720517597496611,0.7620350109409191,0.6527472527472528,0.8366718027734977,0.9541095890410959,0.8272980501392758,0.4491315136476427
"(0, 0, 0, 1, 0)","(0, 0, 12, 6)",0.787422497785651,720,0.8811096433289299,0.7310182460270748,0.6956521739130435,0.7692600210896826,0.8507653061224489,0.6330275229357798,0.8496420047732697,0.9136986301369863,0.8649025069637883,0.5889164598842018
"(0, 0, 0, 1, 1)","(0, 0, 12, 6)",0.7407735459108356,878,0.8491938033512488,0.6537102473498233,0.6387872451646628,0.7138970986219118,0.7886083382266589,0.5663265306122449,0.8678977272727273,0.9198630136986301,0.7729805013927576,0.5053763440860215
"(0, 0, 1, 0, 0)","(0, 0, 12, 6)",0.79185119574845,705,0.880674448767834,0.7475961538461539,0.6929911154985192,0.7737539060375024,0.8362068965517241,0.6575052854122622,0.8592411260709915,0.9301369863013699,0.8662952646239555,0.5806451612903226
"(0, 0, 1, 0, 1)","(0, 0, 12, 6)",0.7328018895777975,905,0.8465608465608465,0.6519928613920285,0.6106382978723405,0.7030640019417386,0.775812892184826,0.569055036344756,0.8554396423248882,0.9315068493150684,0.7632311977715878,0.4747725392886683
"(0, 0, 1, 1, 0)","(0, 0, 12, 6)",0.7847652790079717,729,0.8720248361503967,0.6982035928143713,0.7356009070294784,0.7686097786647488,0.8783877692842251,0.6123949579831933,0.8142570281124498,0.8657534246575342,0.8119777158774373,0.6708023159636063
"(0, 0, 1, 1, 1)","(0, 0, 12, 6)",0.7020962503690582,1009,0.8470588235294118,0.5722011898323418,0.593029490616622,0.6707631679927918,0.81,0.4677276746242264,0.8429878048780488,0.8876712328767123,0.7367688022284122,0.4574028122415219
"(0, 1, 0, 0, 0)","(0, 0, 12, 6)",0.7274874520224387,923,0.8402404302435938,0.7154370737755734,0.559,0.7048925013397224,0.7807172251616696,0.6446927374301676,0.706700379266751,0.9095890410958904,0.8036211699164345,0.46236559139784944
"(0, 1, 0, 0, 1)","(0, 0, 12, 6)",0.7227635075287865,939,0.8315041962556488,0.6593023255813953,0.6063394683026585,0.6990486633799008,0.7863247863247863,0.5658682634730539,0.7938420348058902,0.8821917808219178,0.7896935933147632,0.4904880066170389
"(0, 1, 0, 1, 0)","(0, 0, 12, 6)",0.7835842928845586,733,0.8760213143872113,0.7065727699530516,0.7263858093126386,0.7696599645509673,0.9099630996309963,0.6105476673427992,0.7829827915869981,0.8445205479452055,0.8384401114206128,0.6774193548387096
"(0, 1, 0, 1, 1)","(0, 0, 12, 6)",0.7156775907883083,963,0.8403930870891223,0.602770083102493,0.6342913776015857,0.6924848492644003,0.8316566063044937,0.500459981600736,0.7911001236093943,0.8493150684931506,0.7576601671309192,0.5293631100082713
"(0, 1, 1, 0, 0)","(0, 0, 12, 6)",0.7788603483909065,749,0.8781849912739965,0.7071428571428572,0.7052489905787349,0.7635256129985294,0.8953736654804271,0.6174636174636174,0.7705882352941177,0.8616438356164383,0.8272980501392758,0.6501240694789082
"(0, 1, 1, 0, 1)","(0, 0, 12, 6)",0.72217301446708,941,0.8441166610794503,0.6267487409065473,0.625748502994012,0.6988713016600032,0.8266579120157583,0.5238540692235735,0.7886792452830189,0.8623287671232877,0.7799442896935933,0.5186104218362283
"(0, 1, 1, 1, 0)","(0, 0, 12, 6)",0.7676409802184825,787,0.8721915285451197,0.6518691588785047,0.7311461440136344,0.7517356104790863,0.9434262948207172,0.5613682092555332,0.7539543057996485,0.810958904109589,0.7771587743732591,0.7096774193548387
"(0, 1, 1, 1, 1)","(0, 0, 12, 6)",0.6834957189253026,1072,0.8384855852726641,0.5441329179646937,0.5931945149822245,0.6586043394065274,0.8505990133897111,0.4337748344370861,0.7684210526315789,0.8267123287671233,0.7298050139275766,0.48304383788254757
"(1, 0, 0, 0, 0)","(0, 0, 12, 6)",0.7245349867139061,933,0.8465116279069768,0.6960352422907489,0.5469387755102041,0.6964952152359766,0.773371104815864,0.634902411021814,0.7137150466045273,0.934931506849315,0.7701949860724234,0.44334160463192723
"(1, 0, 0, 0, 1)","(0, 0, 12, 6)",0.7268969589607323,925,0.8331218274111675,0.6346820809248555,0.6342494714587738,0.7006844599315989,0.7760047281323877,0.5424901185770751,0.8784773060029283,0.8993150684931507,0.7646239554317549,0.49627791563275436
"(1, 0, 0, 1, 0)","(0, 0, 12, 6)",0.7829937998228521,735,0.8890449438202247,0.683649289099526,0.7229669347631814,0.7652203892276441,0.9121037463976945,0.5948453608247423,0.7862001943634597,0.8671232876712329,0.8036211699164345,0.6691480562448304
"(1, 0, 0, 1, 1)","(0, 0, 12, 6)",0.7263064658990257,927,0.8471992045077892,0.5879090404880755,0.6673490276356192,0.7008190908771613,0.8208092485549133,0.48847926267281105,0.8751677852348994,0.8753424657534247,0.7381615598885793,0.5392886683209264
"(1, 0, 1, 0, 0)","(0, 0, 12, 6)",0.7753173900206672,761,0.8874309392265194,0.6775757575757576,0.7019748653500898,0.7556605207174556,0.8948467966573816,0.5997854077253219,0.7674190382728164,0.8801369863013698,0.7785515320334262,0.6468155500413565
"(1, 0, 1, 0, 1)","(0, 0, 12, 6)",0.7260112193681725,928,0.8449688626679777,0.6002239641657335,0.6546205472379969,0.699937791357236,0.8101822752985544,0.50187265917603,0.8708791208791209,0.8828767123287671,0.7465181058495822,0.5244003308519437
"(1, 0, 1, 1, 0)","(0, 0, 12, 6)",0.7682314732801889,785,0.8805261234928754,0.6285714285714286,0.7390180878552972,0.7493718799732004,0.9436178543461238,0.5406218655967904,0.77088948787062,0.8253424657534246,0.7506963788300836,0.7096774193548387
"(1, 0, 1, 1, 1)","(0, 0, 12, 6)",0.7032772364924712,1005,0.8545581071677105,0.5487804878048781,0.6356107660455487,0.6796497870060457,0.8684582743988685,0.432,0.8492392807745505,0.8410958904109589,0.7520891364902507,0.5078577336641853
"(1, 1, 0, 0, 0)","(0, 0, 12, 6)",0.7266017124298789,926,0.848504342232229,0.685749844430616,0.5743440233236151,0.7028660699954866,0.7998787143723469,0.6197975253093363,0.696113074204947,0.9034246575342466,0.7674094707520891,0.48883374689826303
"(1, 1, 0, 0, 1)","(0, 0, 12, 6)",0.7301446708001181,914,0.8288,0.6702444841979726,0.6247464503042597,0.707930311500744,0.7777777777777778,0.5860271115745568,0.8073394495412844,0.886986301369863,0.7827298050139275,0.5095119933829612
"(1, 1, 0, 1, 0)","(0, 0, 12, 6)",0.755831118984352,827,0.8765957446808511,0.6485207100591716,0.6855123674911661,0.7368762740770629,0.9088235294117647,0.5637860082304527,0.7355450236966825,0.8465753424657534,0.7632311977715878,0.6418527708850289
