Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 12, 6)",0.6586950103336285,1156,0.7789417136717701,0.7155852031534263,0.2724679029957204,0.588998273273639,0.6407423773751657,0.6337271750805585,0.9896373056994818,0.9931506849315068,0.8217270194986073,0.15798180314309346
"(0, 0, 0, 1, 0)","(0, 0, 12, 6)",0.6542663123708297,1171,0.8418879056047197,0.6484641638225256,0.18604651162790697,0.5587995270183841,0.7393782383419689,0.4988747186796699,1.0,0.9773972602739726,0.9261838440111421,0.10256410256410256
"(0, 0, 0, 1, 1)","(0, 0, 12, 6)",0.6705048715677591,1116,0.8429458740017747,0.6653366583541147,0.2579250720461095,0.5887358681339997,0.7418011452368558,0.5182595182595182,1.0,0.976027397260274,0.9289693593314763,0.1480562448304384
"(0, 0, 1, 0, 0)","(0, 0, 12, 6)",0.6601712429878949,1151,0.8094170403587444,0.6852459016393443,0.23982558139534885,0.5781628411311459,0.6850094876660342,0.5638489208633094,0.9880239520958084,0.989041095890411,0.8732590529247911,0.13647642679900746
"(0, 0, 1, 0, 1)","(0, 0, 12, 6)",0.6660761736049602,1131,0.8073804864411518,0.6922648859209795,0.2714285714285714,0.5903579812635675,0.6820973075106282,0.5764596848934198,0.9947643979057592,0.989041095890411,0.8662952646239555,0.15715467328370555
"(0, 0, 1, 1, 0)","(0, 0, 12, 6)",0.6554472984942427,1167,0.8449197860962567,0.6483357452966715,0.18876404494382024,0.5606731921122495,0.7460650577124869,0.4959409594095941,1.0,0.9739726027397261,0.935933147632312,0.10421836228287841
"(0, 0, 1, 1, 1)","(0, 0, 12, 6)",0.6699143785060525,1118,0.8448275862068966,0.6637037037037037,0.25415162454873647,0.5875609714864456,0.7463235294117647,0.5141545524100994,1.0,0.9732876712328767,0.935933147632312,0.14557485525227462
"(0, 1, 0, 0, 0)","(0, 0, 12, 6)",0.6530853262474166,1175,0.7798708288482239,0.711481261154075,0.23965141612200436,0.577001168708101,0.6422872340425532,0.6209761163032191,0.9821428571428571,0.9924657534246575,0.8328690807799443,0.13647642679900746
"(0, 1, 0, 0, 1)","(0, 0, 12, 6)",0.6595807499261883,1153,0.7791509940891993,0.7172330097087378,0.27492877492877493,0.590437592908904,0.6410256410256411,0.635483870967742,0.9897435897435898,0.9931506849315068,0.8231197771587744,0.15963606286186932
"(0, 1, 0, 1, 0)","(0, 0, 12, 6)",0.6551520519633894,1168,0.8421363233992328,0.6490971205466081,0.19011976047904192,0.5604510681416276,0.7397615344738206,0.4996243425995492,1.0,0.9773972602739726,0.9261838440111421,0.10504549214226634
"(0, 1, 0, 1, 1)","(0, 0, 12, 6)",0.6702096250369058,1117,0.8432879952690716,0.6650049850448654,0.2554112554112554,0.5879014119083975,0.7419354838709677,0.5178571428571429,1.0,0.9767123287671233,0.9289693593314763,0.14640198511166252
"(0, 1, 1, 0, 0)","(0, 0, 12, 6)",0.6610569825804546,1148,0.8094170403587444,0.6863711001642037,0.2436548223350254,0.5798143209526578,0.6850094876660342,0.5653742110009017,0.9882352941176471,0.989041095890411,0.8732590529247911,0.13895781637717122
"(0, 1, 1, 0, 1)","(0, 0, 12, 6)",0.6654856805432536,1133,0.8073804864411518,0.6914952751528627,0.26895565092989987,0.5892771375079714,0.6820973075106282,0.5753931544865865,0.9947089947089947,0.989041095890411,0.8662952646239555,0.1555004135649297
"(0, 1, 1, 1, 0)","(0, 0, 12, 6)",0.6551520519633894,1168,0.8449197860962567,0.648023143683703,0.1874062968515742,0.560116408877178,0.7460650577124869,0.49557522123893805,1.0,0.9739726027397261,0.935933147632312,0.10339123242349049
"(0, 1, 1, 1, 1)","(0, 0, 12, 6)",0.6690286389134927,1121,0.8448275862068966,0.6627218934911243,0.2503617945007236,0.5859704247329148,0.7463235294117647,0.5129770992366413,1.0,0.9732876712328767,0.935933147632312,0.14309346567411083
"(1, 0, 0, 0, 0)","(0, 0, 12, 6)",0.6504281074697372,1184,0.7797795106211347,0.7069988137603797,0.2293644996347699,0.5720476080054281,0.6418769366976538,0.6157024793388429,0.98125,0.9931506849315068,0.83008356545961,0.12985938792390406
