Kombinace rysů,délka úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)",2,0.6277653093940365,1161,0.7891583452211127,0.4608294930875576,0.3510531594784353,0.5336803325957019,0.8595400870105656,0.30007501875468867,0.9887005649717514,0.7294303797468354,0.9925558312655087,0.21341463414634146
"(0, 0, 0, 1, 0)",2,0.2888746393074703,2218,0.0,0.6685082872928176,0.33046683046683045,0.3329917059198827,0.0,0.5314787701317716,0.22085385878489328,0.0,0.9007444168734491,0.6560975609756098
"(0, 0, 0, 1, 1)",2,0.6357806989419685,1136,0.8002273373117363,0.46,0.36113837095191365,0.5404552360878833,0.8675292667898953,0.30146491904394757,0.9246231155778895,0.7426160337552743,0.9702233250620348,0.22439024390243903
"(0, 0, 1, 0, 0)",2,0.2888746393074703,2218,0.0,0.6685082872928176,0.33046683046683045,0.3329917059198827,0.0,0.5314787701317716,0.22085385878489328,0.0,0.9007444168734491,0.6560975609756098
"(0, 0, 1, 0, 1)",2,0.6357806989419685,1136,0.8002273373117363,0.46,0.36113837095191365,0.5404552360878833,0.8675292667898953,0.30146491904394757,0.9246231155778895,0.7426160337552743,0.9702233250620348,0.22439024390243903
"(0, 0, 1, 1, 0)",2,0.6620711766591857,1054,0.8296582138919515,0.48982109808760027,0.32962588473205257,0.5497017322372014,0.8689376443418014,0.32594417077175697,0.9644970414201184,0.7937763713080169,0.9851116625310173,0.19878048780487806
"(0, 0, 1, 1, 1)",2,0.7165758255851234,884,0.8523523523523524,0.5986842105263158,0.32748538011695905,0.5928406476652092,0.810952380952381,0.44772447724477243,0.8155339805825242,0.8982067510548524,0.9032258064516129,0.2048780487804878
"(0, 1, 0, 0, 0)",2,0.7117665918563643,899,0.8700378071833649,0.6473099914602903,0.0,0.5057825995478851,0.7880993150684932,0.4934895833333333,0.0,0.9709915611814346,0.9404466501240695,0.0
"(0, 1, 0, 0, 1)",2,0.7915998717537672,650,0.9236198638769851,0.6617283950617284,0.44507575757575757,0.6768080055048237,0.8845968131337518,0.49507389162561577,0.9957627118644068,0.9662447257383966,0.9975186104218362,0.2865853658536585
"(0, 1, 0, 1, 0)",2,0.5312600192369349,1462,0.6887651821862348,0.0,0.43561442236938924,0.37479320151854134,0.6619649805447471,0.0,0.549165120593692,0.7178270042194093,0.0,0.36097560975609755
"(0, 1, 0, 1, 1)",2,0.7842257133696697,673,0.9137844611528823,0.658703071672355,0.44052044609665425,0.6710026596406305,0.8705826170009551,0.5019505851755527,0.92578125,0.9614978902953587,0.9578163771712159,0.2890243902439024
"(0, 1, 1, 0, 0)",2,0.5312600192369349,1462,0.6887651821862348,0.0,0.43561442236938924,0.37479320151854134,0.6619649805447471,0.0,0.549165120593692,0.7178270042194093,0.0,0.36097560975609755
"(0, 1, 1, 0, 1)",2,0.7835844822058352,675,0.9133266533066132,0.658703071672355,0.4376163873370577,0.6698820374386752,0.8697519083969466,0.5019505851755527,0.9251968503937008,0.9614978902953587,0.9578163771712159,0.2865853658536585
"(0, 1, 1, 1, 0)",2,0.7855081756973389,669,0.9146128951954194,0.6734520780322307,0.4145873320537428,0.667550768427131,0.8661008958038661,0.5115979381443299,0.972972972972973,0.9688818565400844,0.9851116625310173,0.2634146341463415
"(0, 1, 1, 1, 1)",2,0.739980763065085,811,0.8685657171414293,0.6194995685936152,0.3918291550603528,0.6266314802651324,0.8252611585944919,0.4748677248677249,0.8210116731517509,0.9166666666666666,0.890818858560794,0.2573170731707317
"(1, 0, 0, 0, 0)",2,0.6880410387944854,973,0.8445464982778416,0.5856459330143541,0.002386634844868735,0.47752635537902144,0.7478649857665718,0.4766355140186916,0.05555555555555555,0.9699367088607594,0.7593052109181141,0.0012195121951219512
"(1, 0, 0, 0, 1)",2,0.6389868547611414,1126,0.8037974683544303,0.45274212368728123,0.3969465648854962,0.5511620523090692,0.8841772151898735,0.2959572845156369,0.9122807017543859,0.7368143459915611,0.9627791563275434,0.25365853658536586
"(1, 0, 0, 1, 0)",2,0.5562680346264829,1384,0.7116122840690979,0.0,0.4019138755980861,0.37117538655572807,0.6527288732394366,0.0,0.5806451612903226,0.7821729957805907,0.0,0.3073170731707317
"(1, 0, 0, 1, 1)",2,0.6896441167040718,968,0.8601568839599676,0.4877384196185286,0.3783783783783784,0.5754245606522915,0.8828428650749583,0.336150234741784,0.8023715415019763,0.8386075949367089,0.8883374689826302,0.2475609756097561
"(1, 0, 1, 0, 0)",2,0.5565886502084001,1383,0.7117830573554116,0.0,0.40318725099601593,0.3716567694504758,0.6530162923822105,0.0,0.5816091954022988,0.7821729957805907,0.0,0.30853658536585366
"(1, 0, 1, 0, 1)",2,0.6809874959923052,995,0.8517711171662126,0.4789297658862876,0.3783783783783784,0.5696930871436262,0.8810597519729425,0.32783882783882784,0.8023715415019763,0.8243670886075949,0.8883374689826302,0.2475609756097561
"(1, 0, 1, 1, 0)",2,0.7361333760820776,823,0.8927282104177411,0.5690440060698028,0.3646833013435701,0.6088185059437046,0.8733602421796165,0.4098360655737705,0.8558558558558559,0.9129746835443038,0.9305210918114144,0.23170731707317074
"(1, 0, 1, 1, 1)",2,0.729721064443732,843,0.8625877632898696,0.6068734283319362,0.36707663197729423,0.6121792745330333,0.8221797323135756,0.4582278481012658,0.8185654008438819,0.9071729957805907,0.8982630272952854,0.23658536585365852
"(1, 1, 0, 0, 0)",2,0.500480923372876,1558,0.6560708702449193,0.0,0.4431401320616288,0.366403667435516,0.6483007209062822,0.0,0.5561694290976059,0.6640295358649789,0.0,0.36829268292682926
"(1, 1, 0, 0, 1)",2,0.7730041680025649,708,0.9128778257556515,0.6142259414225941,0.44665461121157324,0.657919459463273,0.8804507594316512,0.4633838383838384,0.8636363636363636,0.9477848101265823,0.9106699751861043,0.30121951219512194
