Kombinace rysů,délka úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)",2,0.7503333333333333,749,0.9103413143148242,0.6126629422718808,0.27,0.5976680855289017,0.8421300659754948,0.5061538461538462,0.5921052631578947,0.9905764966740577,0.7759433962264151,0.17487046632124353
"(0, 0, 0, 1, 0)",2,0.28833333333333333,2135,0.0,0.7062876830318691,0.29983525535420097,0.33537431279535673,0.0,0.5563093622795116,0.2010605391073796,0.0,0.9669811320754716,0.5893782383419689
"(0, 0, 0, 1, 1)",2,0.7573333333333333,728,0.909969481180061,0.6355140186915887,0.2865731462925852,0.6106855487214117,0.8406954887218046,0.5263157894736842,0.6327433628318584,0.9916851441241685,0.8018867924528302,0.18523316062176165
"(0, 0, 1, 0, 0)",2,0.28833333333333333,2135,0.0,0.7062876830318691,0.29983525535420097,0.33537431279535673,0.0,0.5563093622795116,0.2010605391073796,0.0,0.9669811320754716,0.5893782383419689
"(0, 0, 1, 0, 1)",2,0.7573333333333333,728,0.909969481180061,0.6355140186915887,0.2865731462925852,0.6106855487214117,0.8406954887218046,0.5263157894736842,0.6327433628318584,0.9916851441241685,0.8018867924528302,0.18523316062176165
"(0, 0, 1, 1, 0)",2,0.7523333333333333,743,0.9085830370746572,0.6328413284132841,0.2556237218813906,0.5990160291231107,0.8383317713214621,0.5196969696969697,0.6067961165048543,0.9916851441241685,0.8089622641509434,0.16191709844559585
"(0, 0, 1, 1, 1)",2,0.7646666666666667,706,0.8950444726810673,0.6880146386093321,0.3230452674897119,0.6353681262600371,0.8263725950258095,0.5620328849028401,0.785,0.9761640798226164,0.8867924528301887,0.2033678756476684
"(0, 1, 0, 0, 0)",2,0.2723333333333333,2183,0.0,0.6833602584814217,0.26639621365787697,0.31658549071309955,0.0,0.5196560196560197,0.18023787740164685,0.0,0.9976415094339622,0.5103626943005182
"(0, 1, 0, 0, 1)",2,0.7713333333333333,686,0.9133214011761698,0.652049571020019,0.3576923076923077,0.6410210932961655,0.8476506881822496,0.5472,0.6940298507462687,0.9900221729490022,0.8066037735849056,0.24093264248704663
"(0, 1, 0, 1, 0)",2,0.46266666666666667,1612,0.6080485115766262,0.0,0.47029702970297027,0.3594485137598655,0.6047149122807017,0.0,0.6477272727272727,0.6114190687361419,0.0,0.36917098445595853
"(0, 1, 0, 1, 1)",2,0.773,681,0.9135549872122762,0.6545454545454545,0.36555023923444974,0.6445502269973935,0.8480531813865148,0.5507246376811594,0.6996336996336996,0.9900221729490022,0.8066037735849056,0.24740932642487046
"(0, 1, 1, 0, 0)",2,0.46,1620,0.6049723756906077,0.0,0.47029702970297027,0.3584231351311926,0.6029735682819384,0.0,0.6477272727272727,0.6069844789356984,0.0,0.36917098445595853
"(0, 1, 1, 0, 1)",2,0.7723333333333333,683,0.9123882503192848,0.6564299424184261,0.3624161073825503,0.6437447667067537,0.8460445286594032,0.5533980582524272,0.6974169741697417,0.9900221729490022,0.8066037735849056,0.24481865284974094
"(0, 1, 1, 1, 0)",2,0.7686666666666667,694,0.9119223895838652,0.6514719848053181,0.34368932038834954,0.6356945649258443,0.8452437292948415,0.5453100158982512,0.686046511627907,0.9900221729490022,0.8089622641509434,0.22927461139896374
"(0, 1, 1, 1, 1)",2,0.772,684,0.9095580678314491,0.6636029411764706,0.3627450980392157,0.6453020356823784,0.8477011494252874,0.5436746987951807,0.7459677419354839,0.9811529933481153,0.8514150943396226,0.23963730569948186
"(1, 0, 0, 0, 0)",2,0.28,2160,0.0,0.6908171861836563,0.2858092389498172,0.32554214171115786,0.0,0.5373525557011796,0.19222172552525704,0.0,0.9669811320754716,0.5569948186528497
"(1, 0, 0, 0, 1)",2,0.767,699,0.9185299408892316,0.6308973172987974,0.33657587548638135,0.6286677112248035,0.8562529947292765,0.5190258751902588,0.67578125,0.9905764966740577,0.8042452830188679,0.22409326424870465
"(1, 0, 0, 1, 0)",2,0.629,1113,0.77602076941232,0.0,0.4226086956521739,0.399543155021498,0.6757090012330457,0.0,0.6428571428571429,0.9113082039911308,0.0,0.31476683937823835
"(1, 0, 0, 1, 1)",2,0.764,708,0.9155145929339478,0.6325581395348837,0.32188420019627084,0.6233189775550341,0.8506184586108468,0.522273425499232,0.6639676113360324,0.991130820399113,0.8018867924528302,0.21243523316062177
"(1, 0, 1, 0, 0)",2,0.633,1101,0.7794775241233232,0.0,0.4226086956521739,0.4006954065918324,0.6773006134969325,0.0,0.6428571428571429,0.917960088691796,0.0,0.31476683937823835
"(1, 0, 1, 0, 1)",2,0.7643333333333333,707,0.9157490396927017,0.6338289962825279,0.32188420019627084,0.6238207453905001,0.8510233222275108,0.5230061349693251,0.6639676113360324,0.991130820399113,0.8042452830188679,0.21243523316062177
"(1, 0, 1, 1, 0)",2,0.7636666666666667,709,0.9131767109295199,0.6477584629460201,0.3007063572149344,0.6205471770301582,0.8465909090909091,0.5291479820627802,0.680365296803653,0.991130820399113,0.8349056603773585,0.19300518134715025
"(1, 0, 1, 1, 1)",2,0.771,687,0.9063938618925831,0.6691519105312209,0.3579154375614553,0.6444870699950864,0.8414055080721747,0.5531587057010786,0.7428571428571429,0.9822616407982262,0.8466981132075472,0.23575129533678757
"(1, 1, 0, 0, 0)",2,0.639,1083,0.8388096714197149,0.34072345390898484,0.4360980699008868,0.5385437317431955,0.9514767932489452,0.3371824480369515,0.3650655021834061,0.75,0.3443396226415094,0.5414507772020726
"(1, 1, 0, 0, 1)",2,0.774,678,0.9171384457025219,0.6427221172022685,0.3787878787878788,0.6462161472308897,0.8559077809798271,0.5362776025236593,0.704225352112676,0.9878048780487805,0.8018867924528302,0.25906735751295334
"(1, 1, 0, 1, 0)",2,0.7666666666666667,700,0.932230522945571,0.5477477477477477,0.436077057793345,0.6386851094955546,0.8986625514403292,0.44314868804664725,0.672972972972973,0.9684035476718403,0.7169811320754716,0.3225388601036269
"(1, 1, 0, 1, 1)",2,0.7786666666666666,664,0.9189606380241832,0.6579683131407269,0.37884615384615383,0.6519250350036879,0.85741718674988,0.5439137134052389,0.7350746268656716,0.9900221729490022,0.8325471698113207,0.2551813471502591
"(1, 1, 1, 0, 0)",2,0.7666666666666667,700,0.932230522945571,0.5477477477477477,0.436077057793345,0.6386851094955546,0.8986625514403292,0.44314868804664725,0.672972972972973,0.9684035476718403,0.7169811320754716,0.3225388601036269
"(1, 1, 1, 0, 1)",2,0.7786666666666666,664,0.9189606380241832,0.6579683131407269,0.37884615384615383,0.6519250350036879,0.85741718674988,0.5439137134052389,0.7350746268656716,0.9900221729490022,0.8325471698113207,0.2551813471502591
"(1, 1, 1, 1, 0)",2,0.7756666666666666,673,0.9180159342071447,0.6555555555555556,0.36345966958211856,0.6456770531149396,0.8557738380450407,0.5396341463414634,0.7276264591439688,0.9900221729490022,0.8349056603773585,0.2422279792746114
"(1, 1, 1, 1, 1)",2,0.779,663,0.9126513785106931,0.6727772685609532,0.38715953307393,0.6575293933818588,0.8526721232546943,0.5502248875562219,0.77734375,0.9817073170731707,0.8655660377358491,0.25777202072538863
"(0, 0, 0, 0, 1)",3,0.7586666666666667,724,0.9060521651050899,0.6393762183235867,0.3102439024390244,0.618557428622567,0.8340326340326341,0.5448504983388704,0.6284584980237155,0.9916851441241685,0.7735849056603774,0.20595854922279794
"(0, 0, 0, 1, 0)",3,0.2803333333333333,2159,0.0,0.698019801980198,0.2801608579088472,0.3260602199630151,0.0,0.5368020304568528,0.18896925858951175,0.0,0.9976415094339622,0.5414507772020726
"(0, 0, 0, 1, 1)",3,0.7683333333333333,695,0.917864476386037,0.6322701688555347,0.3468208092485549,0.6323184848300422,0.8546845124282982,0.5249221183800623,0.6766917293233082,0.991130820399113,0.7948113207547169,0.23316062176165803
"(0, 0, 1, 0, 0)",3,0.2816666666666667,2155,0.0,0.7003311258278145,0.2824631860776439,0.32759810396848615,0.0,0.5395408163265306,0.19043321299638988,0.0,0.9976415094339622,0.5466321243523317
"(0, 0, 1, 0, 1)",3,0.7683333333333333,695,0.9179066187788609,0.6348314606741573,0.34235976789168276,0.6316992824482336,0.8543457497612226,0.5263975155279503,0.6755725190839694,0.9916851441241685,0.7995283018867925,0.22927461139896374
"(0, 0, 1, 1, 0)",3,0.463,1611,0.6222935044105854,0.0,0.40214477211796246,0.34147942550951593,0.6009292720702116,0.0,0.6484149855907781,0.6452328159645233,0.0,0.2914507772020725
"(0, 0, 1, 1, 1)",3,0.7673333333333333,698,0.9167307199590059,0.6360225140712945,0.3375363724539282,0.6300965354947429,0.8523106241067174,0.5280373831775701,0.6718146718146718,0.9916851441241685,0.7995283018867925,0.22538860103626943
"(0, 1, 0, 0, 0)",3,0.2723333333333333,2183,0.0,0.6833602584814217,0.26639621365787697,0.31658549071309955,0.0,0.5196560196560197,0.18023787740164685,0.0,0.9976415094339622,0.5103626943005182
"(0, 1, 0, 0, 1)",3,0.7776666666666666,667,0.912621359223301,0.6627335299901671,0.3928905519176801,0.6560818137103827,0.8464454976303317,0.5682967959527825,0.7070707070707071,0.9900221729490022,0.7948113207547169,0.27202072538860106
"(0, 1, 0, 1, 0)",3,0.639,1083,0.836875,0.35457413249211356,0.4888888888888889,0.5601126737936676,0.9591690544412608,0.24203273040482343,0.6704288939051919,0.7422394678492239,0.6627358490566038,0.38471502590673573
"(0, 1, 0, 1, 1)",3,0.78,660,0.9273104880581516,0.6244087038789026,0.4106324472960587,0.6541172130777043,0.8720703125,0.5213270142180095,0.7021943573667712,0.9900221729490022,0.7783018867924528,0.29015544041450775
"(0, 1, 1, 0, 0)",3,0.6416666666666667,1075,0.8392523364485981,0.3568253968253968,0.4888888888888889,0.5616555407209612,0.9580369843527738,0.24413553431798435,0.6704288939051919,0.7466740576496674,0.6627358490566038,0.38471502590673573
"(0, 1, 1, 0, 1)",3,0.78,660,0.9258683255572836,0.6286799620132953,0.40955004591368227,0.6546994444947537,0.8695228821811101,0.5262321144674086,0.7034700315457413,0.9900221729490022,0.7806603773584906,0.28886010362694303
"(0, 1, 1, 1, 0)",3,0.7616666666666667,715,0.9258683255572836,0.5826330532212886,0.3492063492063492,0.6192359093283071,0.8695228821811101,0.482225656877898,0.6254180602006689,0.9900221729490022,0.7358490566037735,0.2422279792746114
"(0, 1, 1, 1, 1)",3,0.7686666666666667,694,0.9229974160206719,0.6256781193490054,0.33984375,0.6295064284565591,0.8644724104549855,0.5073313782991202,0.6904761904761905,0.9900221729490022,0.8160377358490566,0.22538860103626943
"(1, 0, 0, 0, 0)",3,0.28,2160,0.0,0.6908171861836563,0.2858092389498172,0.32554214171115786,0.0,0.5373525557011796,0.19222172552525704,0.0,0.9669811320754716,0.5569948186528497
"(1, 0, 0, 0, 1)",3,0.7756666666666666,673,0.9187660668380463,0.6444866920152091,0.3799621928166352,0.6477383172232969,0.8566634707574304,0.5398089171974523,0.7027972027972028,0.9905764966740577,0.7995283018867925,0.2603626943005181
"(1, 0, 0, 1, 0)",3,0.5453333333333333,1364,0.7007186858316222,0.0,0.45166666666666666,0.384128450832763,0.6524856596558317,0.0,0.633177570093458,0.7566518847006651,0.0,0.35103626943005184
"(1, 0, 0, 1, 1)",3,0.772,684,0.9195876288659793,0.6302916274694261,0.3727530747398297,0.6408774436917452,0.859344894026975,0.5242566510172144,0.6912280701754386,0.9889135254988913,0.7900943396226415,0.2551813471502591
"(1, 0, 1, 0, 0)",3,0.5346666666666666,1396,0.6902244003095177,0.0,0.4466834592779177,0.37896928652914513,0.6454413892908828,0.0,0.6348448687350835,0.7416851441241685,0.0,0.344559585492228
"(1, 0, 1, 0, 1)",3,0.7723333333333333,683,0.9195876288659793,0.632173095014111,0.3727530747398297,0.6415045995399734,0.859344894026975,0.5258215962441315,0.6912280701754386,0.9889135254988913,0.7924528301886793,0.2551813471502591
"(1, 0, 1, 1, 0)",3,0.769,693,0.9307551607002874,0.5794392523364486,0.3916591115140526,0.6339511748502629,0.8803756796836382,0.47987616099071206,0.6525679758308157,0.9872505543237251,0.7311320754716981,0.27979274611398963
"(1, 0, 1, 1, 1)",3,0.7766666666666666,670,0.9216494845360824,0.6449814126394052,0.3735632183908046,0.6467313718554307,0.861271676300578,0.5322085889570553,0.7169117647058824,0.991130820399113,0.8183962264150944,0.25259067357512954
"(1, 1, 0, 0, 0)",3,0.639,1083,0.8388096714197149,0.34072345390898484,0.4360980699008868,0.5385437317431955,0.9514767932489452,0.3371824480369515,0.3650655021834061,0.75,0.3443396226415094,0.5414507772020726
"(1, 1, 0, 0, 1)",3,0.7806666666666666,658,0.9171384457025219,0.6557692307692308,0.40782122905027934,0.660242968507344,0.8559077809798271,0.5535714285714286,0.7251655629139073,0.9878048780487805,0.8042452830188679,0.28367875647668395
"(1, 1, 0, 1, 0)",3,0.7713333333333333,686,0.9207332816937774,0.6086105675146771,0.39819004524886875,0.6425112981524411,0.8617689705171581,0.520066889632107,0.6606606606606606,0.988359201773836,0.7334905660377359,0.2849740932642487
"(1, 1, 0, 1, 1)",3,0.7763333333333333,671,0.9169656586365966,0.6604127579737336,0.3643410852713178,0.6472398339605493,0.8527168732125834,0.5482866043613707,0.7230769230769231,0.9916851441241685,0.8301886792452831,0.24352331606217617
"(1, 1, 1, 0, 0)",3,0.7713333333333333,686,0.9207332816937774,0.6086105675146771,0.39819004524886875,0.6425112981524411,0.8617689705171581,0.520066889632107,0.6606606606606606,0.988359201773836,0.7334905660377359,0.2849740932642487
"(1, 1, 1, 0, 1)",3,0.7763333333333333,671,0.9164959016393442,0.6616541353383458,0.3643410852713178,0.6474970407496693,0.8519047619047619,0.55,0.7230769230769231,0.9916851441241685,0.8301886792452831,0.24352331606217617
"(1, 1, 1, 1, 0)",3,0.7693333333333333,692,0.9215686274509803,0.6118546845124283,0.3747680890538033,0.6360638003390706,0.861969111969112,0.5144694533762058,0.6601307189542484,0.9900221729490022,0.7547169811320755,0.2616580310880829
"(1, 1, 1, 1, 1)",3,0.777,669,0.9195579542534053,0.6542404473438956,0.3687258687258687,0.6475080901077231,0.8572113080977479,0.5408320493066255,0.7234848484848485,0.9916851441241685,0.8278301886792453,0.24740932642487046
"(0, 0, 0, 0, 1)",4,0.766,702,0.9076610857432775,0.6432160804020101,0.35559736594543745,0.6354915106969083,0.8367633302151544,0.5604203152364273,0.6494845360824743,0.9916851441241685,0.7547169811320755,0.24481865284974094
"(0, 0, 0, 1, 0)",4,0.269,2193,0.0,0.6784282277465918,0.26042726347914547,0.3129518304085791,0.0,0.5139732685297691,0.17638952687184198,0.0,0.9976415094339622,0.49740932642487046
"(0, 0, 0, 1, 1)",4,0.7783333333333333,665,0.9237134729764676,0.6333647502356268,0.39738805970149255,0.6514887609711956,0.8657295201163354,0.5274725274725275,0.71,0.9900221729490022,0.7924528301886793,0.2759067357512953
"(0, 0, 1, 0, 0)",4,0.271,2187,0.0,0.6817082997582594,0.2639593908629442,0.3152225635404012,0.0,0.5177478580171359,0.17865322950068713,0.0,0.9976415094339622,0.5051813471502591
"(0, 0, 1, 0, 1)",4,0.779,663,0.9227988639297702,0.6388625592417062,0.39738805970149255,0.6530164942909896,0.8637022716288062,0.5340729001584786,0.71,0.9905764966740577,0.7948113207547169,0.2759067357512953
"(0, 0, 1, 1, 0)",4,0.5936666666666667,1219,0.7804878048780488,0.35049161364950837,0.4536796536796537,0.5282196907357369,0.926829268292683,0.23218390804597702,0.6840731070496083,0.6740576496674058,0.714622641509434,0.3393782383419689
"(0, 0, 1, 1, 1)",4,0.7776666666666666,667,0.9248704663212435,0.6333333333333333,0.3886792452830189,0.6489610149791986,0.8681906614785992,0.5213414634146342,0.7152777777777778,0.9894678492239468,0.8066037735849056,0.266839378238342
"(0, 1, 0, 0, 0)",4,0.738,786,0.8977443609022556,0.6833602584814217,0.0,0.5270348731278924,0.8193046660567246,0.5196560196560197,0.0,0.9927937915742794,0.9976415094339622,0.0
"(0, 1, 0, 0, 1)",4,0.7843333333333333,647,0.9135549872122762,0.6653019447287615,0.4348607367475292,0.671239222896189,0.8480531813865148,0.5877034358047016,0.7096774193548387,0.9900221729490022,0.7665094339622641,0.3134715025906736
"(0, 1, 0, 1, 0)",4,0.7166666666666667,850,0.9043731778425655,0.42128935532233885,0.5145631067961165,0.6134085466536736,0.9538745387453874,0.3087912087912088,0.6853448275862069,0.8597560975609756,0.6627358490566038,0.4119170984455959
"(0, 1, 0, 1, 1)",4,0.7956666666666666,613,0.9369085173501577,0.6365313653136532,0.4676258992805755,0.6803552606481288,0.891,0.5227272727272727,0.7647058823529411,0.9878048780487805,0.8136792452830188,0.33678756476683935
"(0, 1, 1, 0, 0)",4,0.7233333333333334,830,0.9043778801843319,0.4413793103448276,0.5102207686017989,0.6186593197103195,0.9412470023980816,0.32690124858115777,0.6917960088691796,0.8702882483370288,0.6792452830188679,0.40414507772020725
"(0, 1, 1, 0, 1)",4,0.7946666666666666,616,0.9356786558151746,0.6377079482439926,0.46348061316501354,0.678955739074727,0.8887780548628429,0.5243161094224924,0.7626112759643917,0.9878048780487805,0.8136792452830188,0.3329015544041451
"(0, 1, 1, 1, 0)",4,0.787,639,0.9438381687516636,0.5684608120868744,0.4847972972972973,0.6656987593786118,0.9078341013824884,0.47401574803149604,0.6966019417475728,0.9828159645232816,0.7099056603773585,0.37176165803108807
