Kombinace rysů,délka úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)",2,0.75,750,0.9181513038987865,0.5812897366030881,0.2962962962962963,0.598579112266057,0.8593523441275979,0.4726735598227474,0.5984251968503937,0.9855875831485588,0.7547169811320755,0.19689119170984457
"(0, 0, 0, 1, 0)",2,0.7036666666666667,889,0.8822227686255225,0.0,0.4201457919151756,0.434122853513566,0.7927529827662395,0.0,0.43012211668928085,0.9944567627494457,0.0,0.4106217616580311
"(0, 0, 0, 1, 1)",2,0.762,714,0.9122896481387047,0.6372180451127819,0.3116370808678501,0.6203815913731122,0.8446647780925401,0.5296875,0.6528925619834711,0.9916851441241685,0.7995283018867925,0.20466321243523317
"(0, 0, 1, 0, 0)",2,0.7046666666666667,886,0.8828740157480315,0.0,0.42328042328042326,0.4353848130094849,0.7938053097345132,0.0,0.43243243243243246,0.9944567627494457,0.0,0.41450777202072536
"(0, 0, 1, 0, 1)",2,0.762,714,0.9129880071446798,0.6354264292408622,0.3116370808678501,0.6200171724177974,0.8458628841607565,0.5272161741835147,0.6528925619834711,0.9916851441241685,0.7995283018867925,0.20466321243523317
"(0, 0, 1, 1, 0)",2,0.7523333333333333,743,0.9085830370746572,0.6328413284132841,0.2556237218813906,0.5990160291231107,0.8383317713214621,0.5196969696969697,0.6067961165048543,0.9916851441241685,0.8089622641509434,0.16191709844559585
"(0, 0, 1, 1, 1)",2,0.7693333333333333,692,0.9063136456211812,0.6735459662288931,0.3359840954274354,0.6386145690925032,0.8380414312617702,0.559190031152648,0.7222222222222222,0.9866962305986696,0.8466981132075472,0.2189119170984456
"(0, 1, 0, 0, 0)",2,0.2723333333333333,2183,0.0,0.6833602584814217,0.26639621365787697,0.31658549071309955,0.0,0.5196560196560197,0.18023787740164685,0.0,0.9976415094339622,0.5103626943005182
"(0, 1, 0, 0, 1)",2,0.7723333333333333,683,0.9161323416260579,0.6396917148362236,0.374412041392286,0.6434120326181891,0.8525059665871122,0.5407166123778502,0.6838487972508591,0.9900221729490022,0.7830188679245284,0.25777202072538863
"(0, 1, 0, 1, 0)",2,0.46266666666666667,1612,0.6080485115766262,0.0,0.47029702970297027,0.3594485137598655,0.6047149122807017,0.0,0.6477272727272727,0.6114190687361419,0.0,0.36917098445595853
"(0, 1, 0, 1, 1)",2,0.7773333333333333,668,0.9137886927602967,0.6621490803484995,0.3856332703213611,0.6538570144767192,0.8484560570071259,0.5615763546798029,0.7132867132867133,0.9900221729490022,0.8066037735849056,0.26424870466321243
"(0, 1, 1, 0, 0)",2,0.46266666666666667,1612,0.6080485115766262,0.0,0.47029702970297027,0.3594485137598655,0.6047149122807017,0.0,0.6477272727272727,0.6114190687361419,0.0,0.36917098445595853
"(0, 1, 1, 0, 1)",2,0.7773333333333333,668,0.9137886927602967,0.6621490803484995,0.3856332703213611,0.6538570144767192,0.8484560570071259,0.5615763546798029,0.7132867132867133,0.9900221729490022,0.8066037735849056,0.26424870466321243
"(0, 1, 1, 1, 0)",2,0.7686666666666667,694,0.9119223895838652,0.6514719848053181,0.34368932038834954,0.6356945649258443,0.8452437292948415,0.5453100158982512,0.686046511627907,0.9900221729490022,0.8089622641509434,0.22927461139896374
"(0, 1, 1, 1, 1)",2,0.7826666666666666,652,0.918918918918919,0.6672897196261682,0.39425837320574164,0.6601556705836096,0.857760691975012,0.5526315789473685,0.7545787545787546,0.9894678492239468,0.8419811320754716,0.266839378238342
"(1, 0, 0, 0, 0)",2,0.28,2160,0.0,0.6908171861836563,0.2858092389498172,0.32554214171115786,0.0,0.5373525557011796,0.19222172552525704,0.0,0.9669811320754716,0.5569948186528497
"(1, 0, 0, 0, 1)",2,0.7703333333333333,689,0.9187660668380463,0.6334586466165414,0.3575525812619503,0.6365924315721793,0.8566634707574304,0.5265625,0.6824817518248175,0.9905764966740577,0.7948113207547169,0.2422279792746114
"(1, 0, 0, 1, 0)",2,0.6286666666666667,1114,0.7758376592732421,0.0,0.4212358572671889,0.39902450551347696,0.6754313886606409,0.0,0.6419098143236074,0.9113082039911308,0.0,0.3134715025906736
"(1, 0, 0, 1, 1)",2,0.7673333333333333,698,0.9173935351462288,0.6316776007497656,0.34202898550724636,0.6303667071344137,0.8538681948424068,0.5241057542768274,0.6730038022813688,0.991130820399113,0.7948113207547169,0.22927461139896374
"(1, 0, 1, 0, 0)",2,0.633,1101,0.7794775241233232,0.0,0.4226086956521739,0.4006954065918324,0.6773006134969325,0.0,0.6428571428571429,0.917960088691796,0.0,0.31476683937823835
"(1, 0, 1, 0, 1)",2,0.7676666666666667,697,0.9176289453425712,0.6329588014981273,0.34202898550724636,0.6308722441159816,0.8542761586239848,0.5248447204968945,0.6730038022813688,0.991130820399113,0.7971698113207547,0.22927461139896374
"(1, 0, 1, 1, 0)",2,0.7636666666666667,709,0.9131767109295199,0.6477584629460201,0.3007063572149344,0.6205471770301582,0.8465909090909091,0.5291479820627802,0.680365296803653,0.991130820399113,0.8349056603773585,0.19300518134715025
"(1, 0, 1, 1, 1)",2,0.7796666666666666,661,0.9144905273937532,0.6754468485418627,0.3763336566440349,0.6554236775265503,0.8496669838249287,0.5618153364632238,0.749034749034749,0.9900221729490022,0.8466981132075472,0.25129533678756477
"(1, 1, 0, 0, 0)",2,0.639,1083,0.8388096714197149,0.34072345390898484,0.4360980699008868,0.5385437317431955,0.9514767932489452,0.3371824480369515,0.3650655021834061,0.75,0.3443396226415094,0.5414507772020726
"(1, 1, 0, 0, 1)",2,0.7743333333333333,677,0.9178470254957507,0.6367112810707457,0.388422035480859,0.647660114015785,0.8571428571428571,0.5353697749196141,0.6956521739130435,0.9878048780487805,0.785377358490566,0.2694300518134715
